ip,prefix,origin
8.0.0.0,8,3356
8.0.0.0,9,3356
8.10.120.0,24,33182
8.10.140.0,24,22796
8.10.144.0,22,3356
8.10.148.0,24,3356
8.10.149.0,24,26959
8.10.160.0,23,20454
8.10.168.0,21,19048
8.10.176.0,23,14818
8.10.178.0,24,21869
8.10.192.0,24,394736
8.10.194.0,24,16641
8.10.210.0,24,16641
8.10.222.0,23,25934
8.10.245.0,24,17151
8.10.249.0,24,3356
8.10.50.0,24,32760
8.10.62.0,24,30016
8.10.65.0,24,11168
8.10.66.0,23,11168
8.10.68.0,23,11168
8.10.69.0,24,33123
8.10.70.0,23,11168
8.10.72.0,22,29990
8.10.77.0,24,26769
8.10.80.0,20,3356
8.11.166.0,24,46887
8.11.192.0,24,7148
8.11.249.0,24,11168
8.11.252.0,23,11168
8.11.254.0,23,11168
8.11.3.0,24,20149
8.12.1.0,24,23089
8.12.112.0,24,29152
8.12.114.0,24,55080
8.12.120.0,24,6102
8.12.144.0,21,394340
8.12.155.0,24,11946
8.12.16.0,24,20473
8.12.162.0,24,26481
8.12.163.0,24,26481
8.12.164.0,24,26481
8.12.17.0,24,20473
8.12.18.0,24,20473
8.12.20.0,23,20473
8.12.21.0,24,20473
8.12.214.0,25,3356
8.12.22.0,24,20473
8.12.224.0,20,29990
8.12.23.0,24,20473
8.12.24.0,24,30007
8.12.245.0,24,14721
8.12.246.0,23,12025
8.12.250.0,24,16641
8.12.251.0,24,12286
8.12.253.0,24,1407
8.12.254.0,24,26411
8.12.27.0,24,53965
8.12.3.0,24,31793
8.12.32.0,22,26464
8.12.36.0,23,26464
8.12.40.0,23,26464
8.12.42.0,23,26464
8.12.44.0,22,26464
8.12.5.0,24,14058
8.12.52.0,24,26471
8.12.54.0,24,54325
8.12.55.0,24,27548
8.12.57.0,24,54325
8.12.59.0,24,15202
8.12.60.0,24,46213
8.12.6.0,24,14540
8.12.62.0,24,20262
8.12.64.0,24,20473
8.12.66.0,24,27513
8.12.67.0,24,34992
8.12.68.0,24,20473
8.12.7.0,24,53416
8.12.72.0,22,13767
