ip,prefix,origin
211.0.0.0,16,4713
211.100.0.0,19,23724
211.100.0.0,20,23724
211.10.0.0,19,4694
211.100.14.0,24,23724
211.100.15.0,24,23724
211.100.16.0,20,23724
211.100.17.0,24,23724
211.100.19.0,24,23724
211.100.192.0,20,4808
211.100.192.0,20,4847
211.100.21.0,24,23724
211.100.22.0,24,23724
211.100.224.0,19,4808
211.100.224.0,19,4847
211.100.224.0,20,17964
211.100.240.0,20,17964
211.100.247.0,24,17964
211.100.253.0,24,17964
211.100.254.0,24,17964
211.100.27.0,24,23724
211.100.28.0,24,23724
211.100.29.0,24,23724
211.100.32.0,19,23724
211.100.32.0,20,23724
211.100.32.0,24,23724
211.100.33.0,24,23724
211.100.37.0,24,23724
211.100.38.0,24,23724
211.100.39.0,24,23724
211.100.41.0,24,23724
211.100.44.0,24,23724
211.100.46.0,24,23724
211.100.47.0,24,23724
211.100.48.0,20,23724
211.100.48.0,24,23724
211.100.49.0,24,23724
211.100.50.0,24,23724
211.100.52.0,24,23724
211.100.61.0,24,23724
211.100.64.0,19,23724
211.100.66.0,23,23724
211.100.66.0,24,23724
211.100.68.0,23,23724
211.100.69.0,24,9803
211.100.71.0,24,9803
211.100.72.0,24,23724
211.100.76.0,24,23724
211.100.77.0,24,9803
211.100.96.0,21,4847
211.101.0.0,18,17431
211.101.0.0,19,4808
211.101.0.0,19,9395
211.101.128.0,21,4847
211.101.136.0,21,4847
211.101.144.0,21,4847
211.101.152.0,21,4847
211.101.160.0,20,4847
211.101.176.0,20,4847
211.101.192.0,20,4847
211.101.194.0,24,63691
211.101.208.0,20,4847
211.101.224.0,20,4847
211.101.228.0,24,4808
211.101.234.0,24,4808
211.101.240.0,20,4847
211.10.128.0,17,2516
211.101.32.0,19,17964
211.101.32.0,19,4808
211.10.133.0,24,2516
211.10.134.0,23,2516
211.10.153.0,24,2516
211.10.160.0,23,2516
211.10.162.0,24,2516
211.10.17.0,24,2554
211.10.171.0,24,2516
211.10.177.0,24,2516
211.10.178.0,23,2516
211.10.190.0,24,2516
211.10.192.0,24,2516
211.10.195.0,24,2516
211.10.196.0,24,2516
211.10.200.0,24,2516
211.10.204.0,23,2516
211.102.128.0,18,4837
211.10.217.0,24,2516
211.10.218.0,23,2516
211.102.192.0,23,4847
211.102.208.0,20,23724
211.102.208.0,20,4808
211.102.208.0,22,23724
211.102.240.0,20,24147
211.102.240.0,23,24147
211.102.242.0,23,24147
211.102.244.0,22,24147
211.102.248.0,21,23724
211.102.248.0,24,24147
211.10.237.0,24,2516
211.102.80.0,20,4134
211.102.80.0,21,134763
211.102.88.0,21,134763
211.103.0.0,17,9808
211.103.0.0,18,56046
211.103.1.0,24,56046
211.103.120.0,21,56046
211.103.12.0,24,56046
211.103.128.0,17,4847
211.103.128.0,18,4847
211.103.128.0,19,4808
211.103.128.0,19,4847
211.103.151.0,24,17964
211.103.160.0,19,4808
211.103.160.0,19,4847
211.103.160.0,20,4847
211.103.16.0,21,56046
211.103.176.0,20,4847
211.103.192.0,18,4808
211.103.192.0,18,4847
211.103.192.0,19,4847
211.10.32.0,19,2527
211.103.2.0,23,56046
211.103.224.0,19,4847
211.103.24.0,22,56046
211.103.28.0,23,56046
211.103.30.0,23,56046
211.103.32.0,22,56046
211.103.36.0,23,56046
211.103.38.0,24,56046
211.103.4.0,22,56046
211.103.46.0,23,56046
211.103.48.0,22,56046
211.103.52.0,22,56046
211.103.56.0,21,56046
211.103.64.0,20,56046
211.103.80.0,20,38019
211.103.8.0,22,56046
211.103.82.0,23,38019
211.103.84.0,24,38019
211.103.85.0,24,38019
211.103.89.0,24,38019
211.103.91.0,24,38019
211.103.92.0,22,38019
211.103.96.0,19,56046
211.103.96.0,21,56046
211.104.0.0,14,4766
211.104.111.0,24,10156
211.104.158.0,25,9701
211.104.86.0,24,4766
211.105.201.128,27,4766
211.105.219.0,27,4766
211.105.245.0,24,18174
211.105.247.216,29,4766
211.105.252.0,22,4766
211.105.65.0,27,4766
211.105.7.0,24,4766
211.105.8.0,24,4766
211.106.183.0,24,4766
211.106.22.0,24,9684
211.106.28.0,23,4766
211.10.64.0,19,7516
211.106.46.0,23,46005
211.106.46.0,24,46005
211.106.47.0,24,46005
211.107.139.64,26,4766
211.107.41.0,24,4766
