ip,prefix,origin
139.0.0.0,19,9905
139.0.0.0,21,9905
139.0.128.0,19,23700
139.0.160.0,19,23700
139.0.16.0,21,9905
139.0.192.0,19,23700
139.0.224.0,19,23700
139.0.24.0,21,9905
139.0.32.0,19,23700
139.0.64.0,19,23700
139.0.8.0,21,9905
139.0.96.0,19,23700
139.100.0.0,16,2278
139.101.0.0,16,18081
139.101.0.0,18,18081
139.101.128.0,18,18081
139.101.192.0,18,18081
139.101.64.0,18,18081
139.102.0.0,16,1767
139.103.0.0,16,611
139.104.172.0,22,54330
139.104.184.0,21,8137
139.104.248.0,22,8137
139.104.64.0,22,8137
139.105.0.0,16,5619
139.106.0.0,15,5619
139.108.0.0,14,5619
139.11.0.0,16,680
139.112.0.0,13,5619
139.1.124.0,22,15540
139.1.144.0,20,15540
139.1.144.0,21,15540
139.1.152.0,21,15540
139.120.0.0,16,5619
139.121.0.0,16,188
139.12.1.0,24,3320
139.12.127.0,24,3320
139.12.2.0,24,3320
139.122.192.0,20,202116
139.122.208.0,20,3549
139.122.224.0,20,17888
139.12.251.0,24,3320
139.12.253.0,24,3320
139.12.255.0,24,3320
139.123.0.0,16,719
139.12.3.0,24,3320
139.124.0.0,16,2200
139.12.4.0,24,3320
139.125.0.0,16,7018
139.126.0.0,16,32190
139.127.0.0,16,30703
139.128.0.0,16,8968
139.129.0.0,16,37963
139.129.0.0,17,37963
139.129.128.0,17,37963
139.130.0.0,16,1221
139.13.0.0,16,680
139.131.108.0,23,14297
139.131.112.0,23,14297
139.131.114.0,23,14297
139.131.120.0,23,14297
139.131.12.0,23,14297
139.131.122.0,23,14297
139.131.126.0,23,14297
139.131.130.0,23,30386
139.131.130.0,24,30386
139.131.131.0,24,30386
139.131.132.0,23,30386
139.131.132.0,24,30386
139.131.133.0,24,30386
139.131.143.0,24,14297
139.131.144.0,22,53927
139.131.148.0,22,53927
139.131.160.0,23,14297
139.131.164.0,23,14297
139.131.174.0,23,14297
139.131.180.0,23,14297
139.131.182.0,23,14297
139.131.184.0,23,14297
139.131.192.0,24,14297
139.131.193.0,24,14297
139.131.194.0,23,14297
139.131.196.0,23,14297
139.131.198.0,23,14297
139.131.200.0,23,14297
139.131.204.0,23,14297
139.131.206.0,23,14297
139.131.208.0,20,14297
139.131.212.0,22,53927
139.131.224.0,20,14297
139.131.224.0,23,53927
139.131.240.0,21,14297
139.131.240.0,24,14297
139.131.250.0,24,14297
139.131.253.0,24,30386
139.131.42.0,23,14297
139.131.64.0,21,14297
139.131.64.0,24,14297
139.131.66.0,23,14297
139.131.76.0,22,14297
139.131.80.0,21,14297
139.131.96.0,22,14297
139.132.0.0,16,7645
139.133.0.0,16,786
139.134.0.0,16,1221
139.135.0.0,16,4181
139.137.0.0,16,22093
139.137.128.0,24,22093
139.137.221.0,24,22093
