ip,prefix,origin
31.0.0.0,15,8374
31.10.0.0,21,47151
31.10.128.0,17,6830
31.10.128.0,18,6830
31.10.14.0,24,34709
31.10.15.0,24,34709
31.10.16.0,20,56653
31.10.192.0,18,6830
31.10.32.0,20,42004
31.10.48.0,21,5396
31.10.56.0,21,196845
31.10.64.0,18,35271
31.10.8.0,21,35140
31.11.0.0,19,6772
31.11.104.0,21,43612
31.11.112.0,21,43612
31.11.120.0,21,43612
31.11.128.0,17,29314
31.11.128.0,24,29314
31.11.129.0,24,29314
31.11.130.0,24,29314
31.11.131.0,24,29314
31.11.172.0,24,29314
31.11.202.0,24,29314
31.11.228.0,24,29314
31.11.32.0,21,31034
31.11.40.0,21,34358
31.11.48.0,21,48728
31.11.56.0,23,13205
31.11.58.0,24,5400
31.116.0.0,15,12576
31.11.64.0,21,43612
31.11.72.0,21,43612
31.118.0.0,15,12576
31.11.80.0,21,43612
31.11.88.0,21,43612
31.11.96.0,21,43612
31.120.0.0,15,12576
31.12.0.0,21,29287
31.12.12.0,22,8928
31.12.64.0,21,44099
31.12.71.0,24,2020708
31.12.71.0,24,202708
31.128.0.0,20,56515
31.12.8.0,22,3313
31.128.112.0,20,35714
31.128.128.0,19,51032
31.128.160.0,19,48919
31.128.16.0,21,56515
31.128.192.0,19,48738
31.128.224.0,19,20714
31.128.24.0,21,56515
31.128.250.0,23,48589
31.128.252.0,24,203016
31.128.254.0,24,60134
31.128.255.0,24,200510
31.128.32.0,23,49055
31.128.34.0,23,49055
31.128.36.0,22,49055
31.128.40.0,22,49055
31.128.44.0,22,49055
31.128.48.0,22,49055
31.128.52.0,22,49055
31.128.56.0,21,49055
31.128.64.0,19,21261
31.128.64.0,20,21261
31.128.75.26,32,21261
31.128.80.0,21,21261
31.128.88.0,22,21261
31.128.92.0,24,21261
31.128.93.0,24,21261
31.128.94.0,23,21261
31.128.96.0,19,35714
31.128.96.0,20,35714
31.129.0.0,24,41789
31.129.10.0,24,41789
31.129.1.0,24,41789
31.129.11.0,24,41789
31.129.12.0,24,41789
31.129.128.0,19,51669
31.129.128.0,22,51669
31.129.13.0,24,41789
31.129.132.0,22,51669
31.129.136.0,22,51669
31.129.140.0,22,51669
31.129.14.0,24,41789
31.129.144.0,22,51669
31.129.148.0,22,51669
31.129.15.0,24,41789
31.129.152.0,22,51669
31.129.156.0,22,51669
31.129.160.0,19,24872
31.129.16.0,24,41789
31.129.17.0,24,41789
31.129.18.0,24,41789
31.129.19.0,24,41789
31.129.192.0,22,47286
31.129.192.0,23,47286
31.129.194.0,24,47286
31.129.195.0,24,47286
31.129.196.0,22,61405
31.129.200.0,21,47286
31.129.20.0,24,41789
31.129.2.0,24,41789
31.129.208.0,21,47286
31.129.21.0,24,41789
31.129.220.0,22,47286
31.129.22.0,24,41789
31.129.224.0,22,50130
31.129.228.0,22,50130
31.129.23.0,24,41789
31.129.232.0,22,50130
31.129.236.0,22,50130
31.129.240.0,22,50130
31.129.24.0,24,41789
31.129.244.0,24,50130
31.129.248.0,22,48915
31.129.25.0,24,41789
31.129.252.0,22,50130
31.129.254.0,23,50130
31.129.26.0,24,41789
31.129.27.0,24,41789
31.129.28.0,24,41789
31.129.29.0,24,41789
31.129.30.0,24,41789
31.129.3.0,24,41789
31.129.31.0,24,41789
31.129.32.0,19,202723
31.129.4.0,24,41789
31.129.5.0,24,41789
31.12.96.0,19,44574
31.129.6.0,24,41789
31.12.96.0,24,44574
31.129.64.0,19,51069
31.129.7.0,24,41789
31.129.8.0,24,41789
31.129.9.0,24,41789
31.129.96.0,19,29685
31.130.0.0,24,47844
31.13.0.0,21,44574
31.130.1.0,24,47844
31.130.112.0,22,56626
31.130.116.0,24,56626
31.130.117.0,24,56626
31.130.118.0,24,56626
31.130.119.0,24,56626
31.130.120.0,21,56676
31.130.12.0,22,47844
31.130.128.0,19,34602
31.130.160.0,21,56747
31.130.16.0,20,47844
31.130.168.0,21,5588
31.130.176.0,20,56749
31.130.192.0,21,57123
31.130.200.0,24,56740
31.130.200.55,32,56740
31.130.201.0,24,56740
31.130.202.0,24,56740
31.130.2.0,24,47844
31.130.203.0,24,56740
31.130.204.0,24,56740
31.130.205.0,24,56740
31.130.206.0,24,56740
31.130.207.0,24,56740
31.130.216.0,21,49185
31.130.216.0,24,49185
31.130.219.0,24,49185
31.130.222.0,24,49185
31.130.223.0,24,49185
31.130.224.0,20,56554
31.130.240.0,22,204229
31.130.244.0,22,204229
31.130.248.0,21,51158
31.130.3.0,24,47844
31.130.31.192,26,47844
31.130.32.0,19,49583
31.130.4.0,22,47844
31.130.64.0,19,15673
31.130.8.0,22,47844
31.130.96.0,20,56709
31.131.0.0,22,43588
31.131.100.0,23,41871
31.131.102.0,23,41871
31.131.1.0,24,15836
31.131.104.0,22,41871
31.131.108.0,22,41871
31.131.112.0,20,41871
31.131.12.0,22,201942
31.131.128.0,24,48595
31.131.129.0,24,48595
31.131.130.0,24,48595
31.131.131.0,24,48595
31.131.132.0,24,48595
31.131.133.0,24,48595
31.131.134.0,24,48595
31.131.135.0,24,48595
31.131.136.0,22,48595
31.131.139.0,24,48595
31.131.140.0,22,48595
31.131.142.0,24,48595
31.131.143.0,24,48595
31.131.144.0,20,43319
31.131.144.0,21,43319
31.131.160.0,22,200178
31.131.16.0,24,56851
31.131.164.0,22,200178
31.131.168.0,21,20670
31.131.17.0,24,56851
31.131.176.0,21,56909
31.131.18.0,24,56851
31.131.184.0,21,56917
31.131.19.0,24,56851
31.131.192.0,22,202717
31.131.20.0,23,49544
31.131.22.0,24,56851
31.131.224.0,20,56933
31.131.224.0,24,56933
31.131.225.0,24,56933
31.131.23.0,24,56851
31.131.240.0,21,12874
31.131.24.0,24,56851
31.131.248.0,21,49505
31.131.248.0,24,49505
31.131.249.0,24,49505
31.131.250.0,24,49505
31.131.25.0,24,56851
31.131.251.0,24,49505
31.131.252.0,23,49505
31.131.254.0,24,49505
31.131.255.0,24,49505
31.131.26.0,24,56851
31.131.27.0,24,49544
31.13.128.0,23,197765
31.13.128.0,24,197765
31.131.28.0,24,21500
31.13.129.0,24,197765
31.131.29.0,24,56851
31.13.130.0,23,197765
31.131.30.0,24,16626
31.13.130.0,24,197765
31.131.31.0,24,16626
31.13.131.0,24,197765
31.131.32.0,21,12700
31.13.132.0,23,197765
31.13.133.0,24,197765
31.13.134.0,23,197765
31.13.134.0,24,197765
31.13.136.0,21,49605
31.131.40.0,22,56940
31.131.4.0,23,43588
31.13.144.0,23,16345
31.131.44.0,24,56940
31.131.45.0,24,56940
31.13.146.0,23,16345
31.131.46.0,24,56940
31.131.47.0,24,56940
31.131.48.0,20,199936
31.13.148.0,22,16345
31.13.152.0,21,44356
31.13.152.0,24,44356
31.13.153.0,24,44356
31.13.154.0,24,44356
31.13.155.0,24,44356
31.13.156.0,24,44356
31.13.158.0,24,44356
31.13.159.0,24,44356
31.13.160.0,21,51440
31.13.160.0,24,51440
31.13.16.0,21,25227
31.131.6.0,24,43588
31.13.161.0,24,51440
31.13.162.0,24,51440
31.13.163.0,24,51440
31.131.64.0,20,43936
31.13.164.0,24,51440
31.13.165.0,24,51440
31.13.166.0,24,51440
31.13.167.0,24,51440
31.13.168.0,23,196819
31.13.170.0,23,196819
31.131.7.0,24,5577
31.13.172.0,23,196819
31.13.174.0,23,196819
31.13.176.0,21,24811
