ip,prefix,origin
71.0.0.0,14,209
71.0.0.0,20,11530
71.0.112.0,20,5778
71.0.112.0,21,209
71.0.120.0,21,209
71.0.128.0,20,11398
71.0.128.0,24,209
71.0.129.0,24,209
71.0.132.0,23,209
71.0.134.0,23,209
71.0.138.0,24,209
71.0.139.0,24,209
71.0.143.0,24,209
71.0.144.0,20,2379
71.0.144.0,21,209
71.0.155.0,24,209
71.0.160.0,20,2379
71.0.16.0,20,5778
71.0.16.0,21,209
71.0.168.0,21,209
71.0.176.0,20,5778
71.0.184.0,21,209
71.0.192.0,20,11530
71.0.194.0,24,209
71.0.208.0,20,18494
71.0.208.0,21,18494
71.0.216.0,21,18494
71.0.224.0,22,16718
71.0.225.0,24,209
71.0.226.0,23,209
71.0.228.0,22,6222
71.0.232.0,21,2379
71.0.240.0,20,2379
71.0.24.0,22,209
71.0.254.0,23,209
71.0.28.0,22,209
71.0.32.0,21,11398
71.0.32.0,22,209
71.0.40.0,21,17402
71.0.4.0,24,209
71.0.48.0,21,14921
71.0.56.0,21,18494
71.0.64.0,20,209
71.0.80.0,20,14905
71.0.96.0,20,6222
71.100.0.0,15,5650
71.10.0.0,19,20115
71.1.0.0,20,2379
71.10.128.0,20,20115
71.10.144.0,20,20115
71.10.160.0,19,20115
71.10.192.0,20,20115
71.102.0.0,18,5650
71.10.208.0,24,20115
71.10.209.0,24,25863
71.10.210.0,23,20115
71.10.212.0,22,20115
71.102.128.0,17,5650
71.10.219.0,24,19115
71.10.220.0,22,20115
71.10.224.0,20,20115
71.10.240.0,20,20115
71.102.64.0,19,5650
71.102.96.0,19,701
71.103.0.0,16,5650
71.10.32.0,20,20115
71.104.0.0,14,5650
71.10.48.0,20,20115
71.10.64.0,18,20115
71.10.64.0,20,20115
71.108.0.0,15,5650
71.10.80.0,20,20115
71.10.96.0,20,20115
71.110.0.0,16,5650
71.11.0.0,20,20115
71.111.0.0,17,701
71.111.192.0,18,5650
71.11.128.0,19,20115
71.11.160.0,20,20115
71.11.16.0,20,20115
71.11.176.0,20,20115
71.11.192.0,19,20115
71.112.0.0,16,701
71.11.224.0,20,20115
71.11.240.0,21,20115
71.11.248.0,21,20115
71.1.128.0,22,14921
71.113.0.0,17,701
71.113.128.0,18,701
71.11.32.0,19,20115
71.1.132.0,22,14921
71.113.208.0,20,701
71.113.220.0,24,5650
71.113.221.0,24,5650
71.113.222.0,24,5650
71.113.223.0,24,5650
71.1.136.0,22,17402
71.114.0.0,18,701
71.1.140.0,22,14905
71.114.112.0,20,701
71.114.128.0,19,701
71.114.160.0,19,701
71.114.192.0,19,701
71.114.223.0,24,5650
71.114.224.0,19,701
71.114.249.0,24,5650
71.114.254.0,24,5650
71.114.255.0,24,5650
71.1.144.0,20,209
71.114.64.0,19,701
71.114.96.0,20,701
71.115.0.0,18,701
71.115.128.0,17,701
71.116.0.0,20,701
71.1.160.0,21,11530
71.1.16.0,20,5778
71.1.16.0,22,209
71.116.12.0,24,5650
71.116.124.0,24,5650
71.116.125.0,24,5650
71.116.126.0,24,5650
71.116.127.0,24,5650
71.116.128.0,17,5650
71.116.13.0,24,5650
71.116.14.0,24,5650
71.116.15.0,24,5650
71.116.16.0,20,701
71.116.32.0,19,701
71.11.64.0,20,20115
71.1.165.0,24,209
71.1.168.0,21,6222
71.117.1.0,24,13667
71.117.11.0,24,13667
71.117.128.0,17,701
71.117.16.0,20,701
71.1.176.0,21,11398
71.1.176.0,22,209
71.117.64.0,18,5650
71.117.8.0,23,13667
71.118.0.0,15,5650
71.11.80.0,20,20115
71.1.181.0,24,11398
71.1.182.0,24,209
71.1.183.0,24,209
71.1.184.0,21,11398
71.1.184.0,22,209
71.11.85.0,24,20115
71.1.188.0,24,209
71.1.189.0,24,209
71.1.190.0,23,11398
71.1.192.0,20,2379
71.1.192.0,24,209
71.1.194.0,23,209
71.11.96.0,19,20115
71.120.0.0,19,701
71.1.200.0,21,209
71.12.0.0,20,20115
71.1.20.0,22,209
71.120.128.0,17,701
71.120.64.0,18,701
71.1.208.0,20,5778
71.1.208.0,23,209
71.1.210.0,23,209
71.121.115.0,24,5650
71.12.112.0,21,20115
71.121.12.0,24,5650
71.121.127.0,24,5650
71.121.128.0,17,701
71.121.15.0,24,5650
71.121.16.0,24,5650
71.12.120.0,21,20115
71.1.212.0,22,209
