ip,prefix,origin
167.0.0.0,19,3816
167.0.128.0,18,3816
167.0.192.0,18,3816
167.0.64.0,19,3816
167.0.96.0,19,3816
167.10.0.0,16,46520
167.100.116.0,24,14614
167.100.117.0,24,14614
167.100.118.0,24,14614
167.102.0.0,16,27026
167.102.0.0,18,27026
167.102.0.0,19,27026
167.102.128.0,18,27026
167.102.128.0,19,27026
167.102.135.0,24,30067
167.102.138.0,24,53302
167.102.155.0,24,4954
167.102.156.0,22,4954
167.102.156.0,24,4954
167.102.157.0,24,4954
167.102.158.0,24,4954
167.102.159.0,24,4954
167.102.160.0,19,27026
167.102.178.0,24,27026
167.102.188.0,22,26297
167.102.19.0,24,27026
167.102.192.0,18,27026
167.102.192.0,19,27026
167.102.218.0,23,55111
167.102.224.0,19,27026
167.102.227.0,24,27026
167.102.241.0,24,15268
167.102.243.0,24,27026
167.102.32.0,19,27026
167.102.56.0,22,27026
167.102.64.0,18,27026
167.102.64.0,19,27026
167.102.96.0,19,27026
167.104.0.0,19,7183
167.104.254.0,23,7183
167.105.240.0,20,15352
167.106.246.0,24,2695
167.106.250.0,24,2695
167.106.251.0,24,2695
167.106.255.0,24,2695
167.107.0.0,16,14799
167.107.66.0,24,14799
167.107.67.0,24,14799
167.108.0.0,16,6057
167.108.0.0,20,6057
167.108.112.0,20,6057
167.108.128.0,20,6057
167.108.144.0,20,6057
167.108.160.0,20,6057
167.108.16.0,20,6057
167.108.176.0,20,6057
167.108.192.0,20,6057
167.108.208.0,20,6057
167.108.224.0,20,6057
167.108.240.0,20,6057
167.108.32.0,20,6057
167.108.48.0,20,6057
167.108.64.0,20,6057
167.108.80.0,20,6057
167.108.96.0,20,6057
167.1.100.0,24,15084
167.110.64.0,23,33565
167.110.66.0,23,33565
167.110.66.0,23,6461
167.112.135.0,24,32739
167.112.136.0,23,32739
167.112.140.0,23,32739
167.112.156.0,23,32739
167.112.160.0,22,32739
167.112.164.0,23,32739
167.114.0.0,16,16276
167.1.146.0,24,15084
167.115.0.0,16,17386
167.115.0.0,18,17386
167.115.0.0,19,17386
167.1.151.0,24,15084
167.1.152.0,24,15084
167.115.2.0,24,17386
167.115.252.0,23,17386
167.115.252.0,24,17386
167.115.253.0,24,17386
167.115.254.0,23,17386
167.115.254.0,24,17386
167.115.255.0,24,17386
167.115.32.0,19,17386
167.115.64.0,18,17386
167.115.64.0,19,17386
167.1.158.0,24,15084
167.115.96.0,19,17386
167.116.0.0,16,6057
167.116.0.0,20,6057
167.116.112.0,20,6057
167.116.128.0,20,6057
167.116.144.0,20,6057
167.116.160.0,20,6057
167.116.16.0,20,6057
167.116.176.0,20,6057
167.116.192.0,20,6057
167.116.208.0,20,6057
167.116.224.0,20,6057
167.116.240.0,20,6057
167.1.163.0,24,15084
167.116.32.0,20,6057
167.1.164.0,24,15084
167.116.48.0,20,6057
167.116.64.0,20,6057
167.1.167.0,24,15084
167.116.80.0,20,6057
167.116.96.0,20,6057
167.1.171.0,24,15084
167.1.172.0,24,15084
167.1.173.0,24,15084
167.1.174.0,24,15084
167.1.175.0,24,15084
167.1.176.0,24,15084
167.1.178.0,24,15084
167.118.191.0,24,63211
167.118.248.0,24,30066
167.118.249.0,24,30066
167.1.184.0,23,15084
167.119.248.0,22,36808
167.119.252.0,24,36808
167.121.0.0,16,10662
167.121.100.0,23,10662
167.121.10.0,23,10662
167.121.102.0,23,10662
167.121.1.0,24,10662
167.121.104.0,23,10662
167.121.106.0,23,10662
167.121.108.0,23,10662
167.121.110.0,23,10662
167.121.112.0,23,10662
167.121.120.0,23,10662
167.121.12.0,23,10662
167.121.134.0,24,10662
167.121.139.0,24,10662
167.121.14.0,23,10662
167.121.200.0,22,10662
167.121.20.0,23,10662
167.121.2.0,23,10662
167.121.204.0,24,10662
167.121.205.0,24,10662
167.121.240.0,24,10662
167.121.254.0,24,10662
167.121.32.0,24,10662
167.121.34.0,24,10662
167.121.4.0,23,10662
167.121.50.0,24,10662
167.121.51.0,24,10662
167.121.52.0,24,10662
167.121.6.0,23,10662
167.121.70.0,24,10662
167.121.71.0,24,10662
167.121.72.0,24,10662
167.121.80.0,24,10662
167.121.8.0,23,10662
167.121.81.0,24,10662
167.123.230.0,24,45467
167.123.240.0,24,45467
167.123.241.0,24,45467
167.124.112.0,22,394261
167.124.116.0,24,394261
167.124.119.0,24,11379
167.124.120.0,23,11379
167.124.124.0,23,40390
167.124.126.0,24,40390
167.124.160.0,24,18703
167.124.240.0,24,18703
167.124.64.0,20,40390
167.127.100.0,23,11520
167.127.100.0,24,11520
167.127.102.0,23,11520
167.127.104.0,23,11520
167.127.105.0,24,11520
167.127.106.0,24,11520
167.127.107.0,24,11520
167.127.108.0,23,11520
167.127.109.0,24,11520
167.127.110.0,23,11520
167.127.110.0,24,11520
167.127.112.0,20,11520
167.127.114.0,23,11520
167.127.116.0,24,11520
167.127.117.0,24,11520
167.127.118.0,24,11520
167.127.120.0,23,11520
167.127.120.0,24,11520
167.127.122.0,24,11520
167.127.123.0,24,11520
167.127.124.0,24,11520
167.127.125.0,24,11520
167.127.128.0,21,11520
167.127.129.0,24,11520
167.127.130.0,24,11520
167.127.132.0,23,11520
167.127.134.0,23,11520
167.127.192.0,19,11520
167.127.205.0,24,11520
167.127.206.0,24,11520
167.127.207.0,24,11520
167.127.208.0,22,11520
167.127.212.0,22,11520
167.127.212.0,24,11520
167.127.216.0,24,11520
167.127.218.0,24,11520
167.127.220.0,24,11520
167.127.221.0,24,11520
167.127.223.0,24,11520
167.127.224.0,24,11520
167.127.225.0,24,11520
167.127.244.0,22,11520
167.127.245.0,24,11520
167.127.246.0,24,11520
167.127.248.0,22,11520
167.127.248.0,23,11520
167.127.25.0,24,11520
167.127.251.0,24,11520
167.127.30.0,24,11520
167.127.97.0,24,11520
167.127.98.0,24,11520
167.128.0.0,16,25899
167.129.0.0,16,394366
167.130.0.0,16,38288
167.131.0.0,16,1798
167.132.0.0,16,10405
167.133.154.0,24,11313
167.133.165.0,24,11313
167.133.169.0,24,11313
167.133.170.0,24,11313
167.133.171.0,24,11313
167.133.172.0,24,11313
167.133.38.0,24,11313
167.133.54.0,24,11313
167.135.0.0,16,33490
167.136.130.0,24,10968
167.136.142.0,24,10968
167.136.185.0,24,3549
167.136.198.0,24,3549
167.136.222.0,24,10968
167.136.225.0,24,10968
167.136.226.0,24,10968
167.136.228.0,24,10968
167.136.230.0,24,3549
167.136.235.0,24,3549
167.136.242.0,24,3549
167.136.25.0,24,10968
167.136.252.0,24,10968
167.136.29.0,24,3549
167.136.30.0,24,10968
167.136.35.0,24,3549
167.136.36.0,24,3549
167.136.45.0,24,10968
167.136.46.0,24,10968
167.136.47.0,24,10968
167.136.48.0,24,10968
167.137.1.0,24,1761
167.138.224.0,19,4196
167.139.0.0,16,4134
167.139.0.0,17,4812
167.139.128.0,17,4812
167.140.0.0,16,15086
167.14.0.0,16,20426
167.140.240.0,24,2516
167.140.241.0,24,2516
167.140.248.0,24,15086
167.140.249.0,24,15086
167.14.100.0,22,20426
167.141.0.0,16,174
167.14.200.0,21,20426
167.142.0.0,16,5056
167.142.0.0,24,5056
167.142.100.0,24,5056
167.142.101.0,24,5056
167.142.103.0,24,5056
167.142.108.0,23,18883
167.142.110.0,24,5056
167.142.112.0,24,5056
167.142.114.0,24,5056
167.142.117.0,24,5056
167.142.118.0,24,14814
167.142.118.0,24,394911
167.142.121.0,24,5056
167.142.122.0,24,5056
167.142.123.0,24,5056
167.142.124.0,24,14230
167.142.132.0,22,5056
167.142.136.0,21,5056
167.142.144.0,22,5056
167.142.148.0,24,394907
167.142.149.0,24,18883
167.142.153.0,24,22534
167.142.154.0,24,5056
167.142.155.0,24,5056
167.142.158.0,24,5056
167.142.162.0,24,5056
167.142.163.0,24,5056
167.142.167.0,24,62825
167.142.172.0,24,5056
167.142.179.0,24,5056
167.142.18.0,23,5056
167.142.181.0,24,5056
167.142.182.0,24,5056
167.142.201.0,24,46892
167.142.202.0,23,5056
167.142.2.0,24,5056
167.142.204.0,24,5056
167.142.205.0,24,5056
167.142.206.0,24,5056
167.142.207.0,24,5056
167.142.210.0,24,5056
167.142.211.0,24,5056
167.142.212.0,24,5056
167.142.214.0,24,5056
167.142.219.0,24,394907
167.142.221.0,24,5056
167.142.23.0,24,5056
167.142.238.0,23,46154
167.14.224.0,21,20426
167.142.241.0,24,18883
167.142.243.0,24,5056
167.142.247.0,24,5056
167.142.248.0,22,5056
167.142.248.0,23,5056
167.142.250.0,24,5056
167.142.252.0,24,5056
167.142.254.0,23,62825
167.142.28.0,22,62886
167.142.28.0,23,62886
167.142.30.0,23,62886
167.142.33.0,24,5056
167.142.34.0,24,18883
167.142.36.0,24,5056
167.14.238.0,23,20426
167.142.38.0,24,46892
167.142.39.0,24,5056
167.14.240.0,21,20426
167.142.41.0,24,5056
167.142.43.0,24,5056
167.142.44.0,22,62886
167.14.248.0,21,20426
167.142.49.0,24,5056
167.142.76.0,22,62886
167.142.89.0,24,5056
167.142.92.0,24,5056
167.142.93.0,24,5056
167.142.95.0,24,5056
167.142.96.0,24,5056
167.142.97.0,24,5056
167.142.99.0,24,5056
167.146.100.0,24,22527
167.146.103.0,24,22527
167.146.104.0,24,22527
167.146.105.0,24,22527
167.146.128.0,20,22527
167.146.137.0,24,22527
167.146.144.0,20,22527
167.146.160.0,20,22527
167.146.16.0,21,22527
167.146.200.0,22,22527
167.146.204.0,24,22527
167.146.205.0,24,22527
167.146.240.0,22,22527
