ip,prefix,origin
157.0.0.0,16,4837
157.100.0.0,16,27947
157.100.0.0,19,27947
157.100.100.0,24,23216
157.100.101.0,24,23216
157.100.106.0,24,23216
157.100.107.0,24,23216
157.100.108.0,24,23216
157.100.109.0,24,23216
157.100.112.0,24,23216
157.100.128.0,19,27947
157.100.140.0,22,23216
157.100.160.0,19,27947
157.1.0.0,16,2907
157.100.177.0,24,23216
157.100.182.0,24,27947
157.100.185.0,24,23216
157.100.186.0,24,23216
157.100.187.0,24,23216
157.100.188.0,22,23216
157.100.190.0,24,23216
157.100.191.0,24,23216
157.100.192.0,19,27947
157.100.20.0,24,23216
157.100.210.0,24,23216
157.100.213.0,24,23216
157.100.224.0,19,27947
157.100.226.0,24,23216
157.100.32.0,19,27947
157.100.64.0,19,27947
157.100.96.0,19,27947
157.100.96.0,24,23216
157.101.224.0,19,7677
157.101.224.0,20,7677
157.101.240.0,20,7677
157.101.64.0,18,2519
157.102.0.0,16,2907
157.102.0.0,17,2907
157.102.128.0,17,2907
157.103.0.0,16,17676
157.105.0.0,16,2907
157.107.0.0,16,4685
157.108.0.0,16,2516
157.109.0.0,16,37919
157.109.160.0,20,37919
157.109.160.0,22,37919
157.109.66.0,24,37919
157.110.0.0,16,37910
157.111.0.0,16,2907
157.111.1.0,24,2907
157.111.7.0,24,2907
157.112.0.0,18,9605
157.112.100.0,22,58793
157.112.104.0,21,58793
157.112.112.0,20,58793
157.112.144.0,20,9371
157.112.160.0,20,17958
157.112.176.0,20,9371
157.112.192.0,18,55394
157.112.64.0,20,24284
157.112.80.0,20,23620
157.112.99.0,24,58793
157.113.0.0,16,9993
157.114.0.0,16,2907
157.118.0.0,16,58785
157.119.0.0,22,135365
157.119.100.0,24,3266
157.119.101.0,24,3266
157.119.102.0,24,3266
157.119.103.0,24,3266
157.119.104.0,24,23860
157.119.105.0,24,23860
157.119.106.0,24,23860
157.119.107.0,24,23860
157.119.108.0,24,134305
157.119.109.0,24,134305
157.119.112.0,24,134548
157.119.113.0,24,134548
157.119.114.0,24,134548
157.119.115.0,24,134548
157.119.116.0,24,135266
157.119.117.0,24,135266
157.119.118.0,24,135266
157.119.119.0,24,135266
157.119.120.0,22,132754
157.119.120.0,24,132754
157.119.121.0,24,132754
157.119.122.0,24,132754
157.119.123.0,24,132754
157.119.124.0,24,133275
157.119.125.0,24,133275
157.119.126.0,24,133275
157.119.127.0,24,133275
157.119.128.0,22,17676
157.119.168.0,24,134258
157.119.169.0,24,134258
157.119.170.0,24,45194
157.119.171.0,24,134258
157.119.176.0,24,132220
157.119.177.0,24,132220
157.119.178.0,24,132220
157.119.179.0,24,132220
157.119.180.0,22,55508
157.119.180.0,24,55508
157.119.181.0,24,55508
157.119.182.0,24,55508
157.119.183.0,24,55508
157.119.184.0,22,132884
157.119.184.0,24,132884
157.119.185.0,24,132884
157.119.186.0,24,132884
157.119.187.0,24,132884
157.119.188.0,24,19084
157.119.189.0,24,19084
157.119.190.0,24,19084
157.119.191.0,24,19084
157.119.200.0,24,135269
157.119.20.0,22,132422
157.119.201.0,24,135269
157.119.202.0,24,135269
157.119.203.0,24,135810
157.119.204.0,24,45916
157.119.205.0,24,45916
157.119.206.0,24,45916
157.119.212.0,22,134319
157.119.216.0,24,133275
157.119.217.0,24,133275
157.119.218.0,24,133275
157.119.219.0,24,133275
157.119.219.0,24,64534
157.119.220.0,24,45302
157.119.221.0,24,45302
157.119.222.0,24,45302
157.119.224.0,24,59169
157.119.225.0,24,59169
157.119.227.0,24,59169
157.119.228.0,22,45232
157.119.232.0,24,135391
157.119.233.0,24,135391
157.119.234.0,24,135391
157.119.235.0,24,135391
157.119.236.0,24,2
157.119.237.0,24,2
157.119.238.0,24,2
157.119.239.0,24,2
157.119.24.0,24,134893
157.119.246.0,24,45899
157.119.247.0,24,45899
157.119.25.0,24,9558
157.119.26.0,24,9558
157.119.27.0,24,9558
157.119.36.0,22,38086
157.119.40.0,24,133658
157.119.4.0,22,17676
157.119.41.0,24,133658
157.119.42.0,24,133658
157.119.43.0,24,133658
157.119.48.0,24,59365
157.119.49.0,24,59365
157.119.50.0,24,59365
157.119.51.0,24,59365
157.119.60.0,22,134102
157.119.60.0,24,134102
157.119.61.0,24,134102
157.119.62.0,24,134102
157.119.63.0,24,134102
157.119.64.0,22,17676
157.119.68.0,24,9304
157.119.69.0,24,9304
157.119.70.0,24,9304
157.119.71.0,24,9304
157.119.72.0,22,135373
157.119.72.0,22,38372
157.119.72.0,23,38372
157.119.74.0,23,135373
157.119.74.0,24,135373
157.119.75.0,24,135373
157.119.76.0,22,135371
157.119.80.0,24,132116
157.119.81.0,24,132116
157.119.82.0,24,132116
157.119.83.0,24,132116
157.119.84.0,24,133232
157.119.85.0,24,133232
157.119.86.0,24,133232
157.119.87.0,24,133232
157.119.88.0,24,135193
157.119.89.0,24,135193
157.119.90.0,24,135193
157.119.91.0,24,135193
157.119.92.0,24,38197
157.119.93.0,24,38197
157.119.94.0,24,38197
157.119.95.0,24,38197
157.119.96.0,24,200429
157.119.97.0,24,200429
157.119.98.0,24,200429
157.119.99.0,24,200429
157.120.0.0,18,9604
157.12.0.0,16,24275
157.120.112.0,21,9604
157.120.120.0,22,9604
157.120.124.0,24,4713
157.120.125.0,24,4713
157.120.126.0,24,4713
157.120.127.0,24,4713
157.120.128.0,19,9604
157.120.160.0,19,59349
157.120.192.0,19,7506
157.120.224.0,21,10021
157.120.232.0,23,9381
157.120.240.0,20,10021
157.120.64.0,19,9604
157.120.96.0,20,9604
157.122.0.0,16,17816
157.122.136.0,21,17622
157.122.136.0,22,17622
157.122.140.0,22,17622
157.12.221.0,24,24275
157.122.32.0,19,17622
157.122.32.0,20,17622
157.122.48.0,20,17622
157.122.48.0,21,17622
157.122.56.0,21,17622
157.122.64.0,20,17622
157.122.64.0,21,17622
157.122.64.0,24,17622
157.122.72.0,21,17622
157.124.0.0,16,1738
157.124.1.0,24,1738
157.124.25.0,24,1738
