ip,prefix,origin
185.100.0.0,24,36617
185.100.0.0,24,36621
185.100.0.0,24,36622
185.100.0.0,24,36628
185.100.0.0,24,36632
185.10.0.0,22,49641
185.100.101.0,24,203561
185.100.102.0,24,42975
185.100.103.0,24,204029
185.100.108.0,22,197664
185.100.112.0,22,6762
185.100.128.0,22,60950
185.100.132.0,24,200566
185.100.133.0,24,203928
185.100.134.0,24,203774
185.100.136.0,22,6739
185.100.140.0,22,48972
185.100.144.0,22,16195
185.100.160.0,22,3320
185.100.160.0,23,3320
185.100.16.0,23,201333
185.100.162.0,23,3320
185.100.164.0,24,196753
185.100.165.0,24,196753
185.100.166.0,24,196753
185.100.168.0,24,34458
185.100.169.0,24,34458
185.100.170.0,24,34458
185.100.171.0,24,34458
185.100.172.0,24,6759
185.100.173.0,24,6759
185.100.174.0,24,6759
185.100.175.0,24,6759
185.100.176.0,22,8265
185.100.180.0,24,25259
185.100.181.0,24,25259
185.100.182.0,24,25259
185.100.183.0,24,25259
185.100.188.0,22,25590
185.100.192.0,22,31433
185.100.200.0,24,29623
185.100.20.0,24,200654
185.100.201.0,24,29623
185.100.202.0,24,29623
185.100.203.0,24,29623
185.100.204.0,22,202204
185.100.208.0,22,200612
185.100.208.0,24,200612
185.100.209.0,24,200612
185.100.210.0,24,200612
185.100.211.0,24,200612
185.100.212.0,24,21321
185.100.213.0,24,21321
185.100.214.0,24,21321
185.100.215.0,24,21321
185.100.216.0,24,31390
185.100.217.0,24,31390
185.100.218.0,24,31390
185.100.219.0,24,31390
185.100.222.0,24,206728
185.100.223.0,24,200039
185.100.224.0,22,39824
185.100.228.0,22,29205
185.100.232.0,22,31120
185.100.236.0,22,200542
185.100.240.0,22,31394
185.100.24.0,22,60747
185.100.244.0,22,43612
185.100.248.0,22,200623
185.100.248.0,24,200623
185.100.249.0,24,200623
185.100.251.0,24,45014
185.100.252.0,22,16076
185.100.28.0,23,200653
185.100.28.0,24,200653
185.100.29.0,24,200653
185.100.30.0,23,200653
185.100.30.0,24,200653
185.100.31.0,24,200653
185.100.32.0,22,200553
185.100.36.0,22,34942
185.100.40.0,22,27229
185.100.4.0,22,42363
185.100.44.0,22,201150
185.100.48.0,22,47518
185.100.56.0,23,61161
185.100.58.0,24,61161
185.100.59.0,24,1101
185.100.60.0,22,200652
185.100.64.0,24,200532
185.100.65.0,24,200532
185.100.66.0,24,200532
185.100.67.0,24,200532
185.100.68.0,22,56595
185.100.72.0,23,201942
185.100.74.0,23,201942
185.100.80.0,22,200761
185.100.8.0,22,50372
185.100.84.0,23,200651
185.100.86.0,24,200651
185.100.87.0,24,200651
185.100.88.0,23,201942
185.100.90.0,23,201942
185.100.92.0,22,198171
185.101.0.0,22,199999
185.10.10.0,24,197495
185.10.108.0,22,201963
185.101.105.0,24,41219
185.101.106.0,24,204221
185.101.107.0,24,25198
185.101.112.0,24,3320
185.101.116.0,22,30786
185.101.120.0,22,51320
185.10.112.0,22,29684
185.10.112.0,24,29684
185.101.124.0,24,202780
185.101.128.0,24,2821
185.101.129.0,24,203562
185.101.130.0,24,203632
185.10.113.0,24,29684
