ip,prefix,origin
144.0.0.0,16,4134
144.0.0.0,22,58541
144.100.0.0,14,721
144.100.100.0,23,27064
144.100.102.0,24,27064
144.100.103.0,24,27064
144.100.104.0,24,27064
144.100.105.0,24,27064
144.100.106.0,24,27064
144.100.107.0,24,27064
144.100.108.0,24,27064
144.100.109.0,24,27064
144.100.110.0,24,27064
144.100.111.0,24,27064
144.100.112.0,24,27064
144.100.113.0,24,27064
144.100.135.0,24,27064
144.100.150.0,24,27064
144.100.160.0,20,27064
144.100.174.0,24,27064
144.100.175.0,24,27064
144.100.180.0,24,27064
144.100.183.0,24,27064
144.100.184.0,22,27064
144.100.21.0,24,27064
144.100.70.0,24,27064
144.100.71.0,24,27064
144.100.72.0,24,27064
144.100.73.0,24,27064
144.100.74.0,24,27064
144.100.75.0,24,27064
144.100.76.0,24,27064
144.100.77.0,24,27064
144.100.78.0,24,27064
144.100.79.0,24,27064
144.100.80.0,21,27064
144.100.88.0,22,27064
144.100.92.0,23,27064
144.100.94.0,24,27064
144.100.95.0,24,27064
144.100.96.0,24,27064
144.101.110.0,24,27064
144.101.115.0,24,27064
144.101.120.0,23,367
144.101.122.0,24,367
144.101.130.0,24,1482
144.101.131.0,24,27064
144.101.132.0,24,1482
144.101.140.0,24,27064
144.101.141.0,24,1482
144.101.150.0,23,27064
144.101.151.0,24,1482
144.101.152.0,21,1482
144.101.161.0,24,1479
144.101.162.0,24,1479
144.101.170.0,24,27064
144.101.171.0,24,27064
144.101.172.0,24,27064
144.101.173.0,24,27064
144.101.174.0,24,27064
144.101.175.0,24,27064
144.101.176.0,24,27064
144.101.177.0,24,27064
144.101.178.0,24,27064
144.101.179.0,24,27064
144.101.201.0,24,27064
144.102.0.0,15,721
144.102.0.0,16,721
144.102.102.0,24,27065
144.102.106.0,24,27065
144.102.110.0,24,27065
144.102.120.0,24,509
144.102.125.0,24,509
144.102.19.0,24,509
144.104.0.0,14,721
144.104.0.0,15,721
144.104.116.0,24,1489
144.104.12.0,24,1501
144.104.124.0,24,1452
144.104.151.0,24,1505
144.104.192.0,21,1600
144.104.205.0,24,1516
144.104.24.0,22,1541
144.104.28.0,24,1541
144.104.29.0,24,1541
144.104.74.0,23,5953
144.104.76.0,23,5953
144.104.78.0,23,5953
144.105.160.0,24,1502
144.105.161.0,24,1502
144.105.162.0,24,1502
144.105.163.0,24,1502
144.105.164.0,24,1502
144.105.167.0,24,1502
144.105.168.0,24,1502
144.105.169.0,24,1502
144.105.171.0,24,1502
144.105.200.0,23,1502
144.105.244.0,23,6034
144.105.249.0,24,1555
144.106.0.0,22,1479
144.106.208.0,21,27064
144.106.243.0,24,6006
144.106.4.0,24,1479
144.106.5.0,24,1479
144.106.79.0,24,258
144.107.154.0,24,1504
144.107.208.0,23,1600
144.107.210.0,24,1600
144.107.211.0,24,1600
144.107.212.0,23,1600
144.107.218.0,24,1600
144.107.219.0,24,1600
144.107.220.0,24,1600
144.107.221.0,24,1600
144.107.32.0,20,1600
144.107.48.0,21,1600
144.107.56.0,22,1600
144.107.60.0,24,1600
144.107.62.0,24,1600
144.107.63.0,24,1600
144.107.84.0,24,1509
144.107.85.0,24,1509
144.109.0.0,16,721
144.109.10.0,24,1471
144.109.1.0,24,1471
144.109.12.0,24,1471
144.109.16.0,22,1471
144.109.2.0,24,1471
144.109.3.0,24,1471
144.109.4.0,24,1471
144.109.5.0,24,1471
144.109.6.0,24,1471
144.110.0.0,16,6262
144.118.0.0,16,11834
144.119.0.0,16,1136
144.120.0.0,16,24390
144.12.0.0,16,4134
144.121.0.0,18,46887
144.121.1.0,24,36233
144.121.128.0,19,46887
144.121.160.0,19,46887
144.121.64.0,18,46887
144.121.73.0,24,46887
144.121.86.0,24,46887
144.122.0.0,16,1967
144.122.95.0,24,8517
144.123.0.0,16,4134
144.124.0.0,16,786
144.125.0.0,16,21784
144.125.40.0,24,21784
144.126.0.0,16,36413
144.126.126.0,23,36413
144.126.16.0,24,36413
144.126.7.0,24,36413
144.127.0.0,16,28795
144.127.3.0,24,28795
144.127.6.0,24,28795
144.130.0.0,15,1221
144.13.0.0,16,3128
144.130.128.0,20,4637
144.130.128.0,21,4637
144.130.136.0,21,4637
144.130.231.0,24,7545
144.132.0.0,14,1221
144.136.0.0,14,1221
144.138.0.0,16,45510
144.138.0.0,24,45510
144.138.10.0,24,45510
144.138.1.0,24,45510
144.138.11.0,24,45510
144.138.112.0,24,45510
144.138.113.0,24,45510
144.138.114.0,24,45510
144.138.115.0,24,45510
