ip,prefix,origin
201.0.0.0,16,27699
201.0.0.0,17,27699
201.100.0.0,16,8151
201.10.0.0,18,8167
201.1.0.0,16,27699
201.1.0.0,17,27699
201.101.0.0,16,8151
201.10.128.0,18,8167
201.102.0.0,19,8151
201.102.128.0,19,8151
201.102.160.0,19,8151
201.102.192.0,19,8151
201.102.224.0,19,8151
201.102.32.0,19,8151
201.102.64.0,19,8151
201.102.96.0,19,8151
201.103.0.0,19,8151
201.103.128.0,19,8151
201.103.160.0,19,8151
201.103.192.0,19,8151
201.103.32.0,19,8151
201.103.64.0,19,8151
201.103.96.0,19,8151
201.104.0.0,18,8151
201.104.128.0,18,8151
201.104.192.0,18,8151
201.104.64.0,18,8151
201.105.0.0,19,8151
201.105.128.0,19,8151
201.105.160.0,19,8151
201.105.192.0,19,8151
201.105.224.0,19,8151
201.105.32.0,19,8151
201.105.64.0,19,8151
201.105.96.0,19,8151
201.106.0.0,19,8151
201.106.118.0,24,8151
201.106.125.0,24,8151
201.10.64.0,18,8167
201.106.96.0,19,8151
201.107.0.0,22,19373
201.107.12.0,22,19373
201.107.16.0,22,19373
201.107.4.0,22,19373
201.107.8.0,22,19373
201.108.0.0,19,8151
201.108.128.0,19,8151
201.108.160.0,19,8151
201.108.192.0,19,8151
201.108.224.0,19,8151
201.108.32.0,19,8151
201.108.64.0,19,8151
201.108.96.0,19,8151
201.109.0.0,16,8151
201.110.0.0,19,8151
201.11.0.0,16,8167
201.11.0.0,18,8167
201.110.128.0,19,8151
201.110.160.0,19,8151
201.110.192.0,19,8151
201.110.224.0,19,8151
201.110.32.0,19,8151
201.110.64.0,19,8151
201.110.96.0,19,8151
201.111.0.0,19,8151
201.111.128.0,19,8151
201.111.160.0,19,8151
201.11.128.0,18,8167
201.111.32.0,19,8151
201.111.64.0,19,8151
201.11.192.0,18,8167
201.111.96.0,19,8151
201.113.0.0,19,8151
201.113.128.0,19,8151
201.113.160.0,19,8151
201.113.224.0,19,8151
201.113.32.0,19,8151
201.113.96.0,19,8151
201.114.0.0,19,8151
201.114.128.0,19,8151
201.114.160.0,19,8151
201.114.192.0,19,8151
201.114.224.0,19,8151
201.114.32.0,19,8151
201.114.64.0,19,8151
201.114.96.0,19,8151
201.116.0.0,18,8151
201.116.101.0,24,8151
201.116.128.0,19,8151
201.116.160.0,19,8151
201.116.190.0,24,8151
201.116.191.0,24,8151
201.116.192.0,19,8151
201.116.224.0,19,8151
201.11.64.0,18,8167
201.116.64.0,18,8151
201.116.7.0,24,28412
201.116.78.96,27,8151
201.116.84.128,27,8151
201.117.0.0,18,8151
201.117.128.0,19,8151
201.117.160.0,19,8151
201.117.192.0,19,8151
201.117.193.0,24,8151
201.117.194.0,25,8151
201.117.224.0,19,8151
201.117.58.0,24,8151
201.117.64.0,19,8151
201.117.96.0,19,8151
201.119.0.0,19,8151
201.119.128.0,19,8151
201.119.160.0,19,8151
201.119.192.0,19,8151
201.119.224.0,19,8151
201.119.32.0,19,8151
201.119.64.0,19,8151
201.119.96.0,19,8151
201.120.0.0,18,8151
201.12.0.0,17,17379
201.120.128.0,17,8151
201.120.183.0,24,8151
201.120.64.0,18,8151
201.12.116.0,24,61568
201.12.117.0,24,28368
201.12.128.0,18,17379
201.122.0.0,16,8151
201.122.10.0,24,8151
201.12.21.0,24,28368
201.122.105.0,24,8151
201.122.107.0,24,8151
201.122.11.0,24,8151
201.122.113.0,24,8151
201.122.115.0,24,8151
201.122.121.0,24,8151
201.122.133.0,24,8151
201.122.135.0,24,8151
201.122.137.0,24,8151
201.122.140.0,24,8151
201.122.141.0,24,8151
201.122.142.0,24,8151
201.122.146.0,24,8151
201.122.148.0,24,8151
201.122.149.0,24,8151
201.122.159.0,24,8151
201.122.160.0,24,8151
201.122.16.0,24,8151
201.122.167.0,24,8151
201.122.168.0,24,8151
201.122.169.0,24,8151
201.122.17.0,24,8151
201.122.172.0,24,8151
201.122.173.0,24,8151
201.122.178.0,24,8151
201.122.181.0,24,8151
201.122.183.0,24,8151
201.122.184.0,24,8151
201.122.188.0,24,8151
201.122.189.0,24,8151
201.122.194.0,24,8151
201.12.22.0,24,28368
201.122.2.0,24,8151
201.122.203.0,24,8151
201.122.217.0,24,8151
201.122.220.0,24,8151
201.122.221.0,24,8151
201.122.228.0,24,8151
201.122.229.0,24,8151
201.122.232.0,24,8151
201.122.235.0,24,8151
201.122.32.0,24,8151
201.122.34.0,24,8151
201.122.36.0,24,8151
201.122.39.0,24,8151
201.122.44.0,24,8151
201.122.47.0,24,8151
201.122.48.0,24,8151
201.122.49.0,24,8151
201.122.50.0,24,8151
201.122.51.0,24,8151
201.122.54.0,24,8151
201.122.56.0,24,8151
201.122.62.0,24,8151
201.122.64.0,24,8151
201.122.66.0,24,8151
201.122.69.0,24,8151
201.122.73.0,24,8151
201.122.75.0,24,8151
201.122.80.0,24,8151
201.122.8.0,24,8151
201.122.85.0,24,8151
201.122.87.0,24,8151
201.122.88.0,24,8151
201.122.9.0,24,8151
201.122.92.0,24,8151
201.122.97.0,24,8151
201.123.0.0,19,8151
201.12.3.0,24,28368
201.123.128.0,19,8151
201.123.160.0,19,8151
201.123.192.0,19,8151
201.123.224.0,19,8151
201.123.32.0,19,8151
201.123.64.0,19,8151
201.123.96.0,19,8151
201.124.0.0,19,8151
201.124.128.0,19,8151
201.124.160.0,19,8151
201.124.192.0,19,8151
201.124.224.0,19,8151
201.124.32.0,19,8151
201.124.64.0,19,8151
201.124.96.0,19,8151
201.127.0.0,19,8151
201.127.128.0,19,8151
201.127.160.0,19,8151
201.127.192.0,19,8151
201.127.224.0,19,8151
201.127.32.0,19,8151
201.127.64.0,19,8151
201.127.96.0,19,8151
201.128.0.0,18,8151
201.128.128.0,19,8151
201.128.160.0,19,8151
201.128.192.0,19,8151
201.128.224.0,19,8151
201.128.64.0,18,8151
201.128.85.0,24,8151
201.130.0.0,24,10706
201.13.0.0,16,27699
201.13.0.0,17,27699
201.130.10.0,24,10706
201.130.1.0,24,10706
201.130.11.0,24,10706
201.130.12.0,22,11172
201.130.12.0,24,27705
201.130.128.0,19,6332
201.130.13.0,24,27705
201.130.14.0,24,27705
201.130.15.0,24,27705
201.130.152.0,22,8151
201.130.156.0,22,8151
201.130.160.0,19,6332
201.130.164.0,22,8151
201.130.176.0,24,8151
201.130.177.0,24,8151
201.130.178.0,24,8151
201.130.192.0,22,16960
201.130.196.0,23,16960
201.130.198.0,23,16960
201.130.200.0,22,16960
201.130.20.0,22,61822
201.130.2.0,24,10706
201.130.204.0,22,16960
201.130.208.0,20,16960
201.130.22.0,24,61822
201.130.224.0,20,16960
201.130.23.0,24,61822
201.130.240.0,20,16960
201.130.28.0,22,61793
201.130.28.0,24,61793
201.130.29.0,24,61793
201.130.30.0,24,61793
201.130.3.0,24,10706
201.130.31.0,24,61793
201.130.32.0,19,28469
201.130.4.0,24,10706
201.130.45.0,24,36180
201.130.47.0,24,28521
201.130.50.0,24,28469
201.130.5.0,24,10706
201.130.51.0,24,28469
201.130.52.0,24,28469
201.130.53.0,24,28469
201.130.58.0,24,28469
201.130.60.0,24,28469
201.130.6.0,24,10706
201.130.62.0,24,28469
201.130.64.0,20,13591
201.130.64.0,22,13591
201.130.70.0,23,13591
201.130.7.0,24,10706
201.130.72.0,22,13591
201.130.74.0,24,13591
201.130.80.0,24,28550
201.130.8.0,24,10706
201.130.82.0,24,61471
201.130.83.0,24,61471
201.130.84.0,22,61938
201.130.84.0,23,61938
201.130.84.0,24,61938
