ip,prefix,origin
191.0.0.0,14,7738
191.0.192.0,19,7738
191.0.64.0,19,7738
191.0.96.0,19,7738
191.100.0.0,16,27668
191.100.0.0,20,27668
191.100.0.0,21,27668
191.10.0.0,16,26599
191.100.10.0,24,27668
191.100.11.0,24,27668
191.100.112.0,20,27668
191.100.12.0,22,27668
191.100.128.0,21,27668
191.100.136.0,21,27668
191.100.144.0,21,27668
191.100.152.0,21,27668
191.100.160.0,21,27668
191.100.16.0,20,27668
191.100.16.0,21,27668
191.100.168.0,21,27668
191.1.0.0,19,7738
191.100.208.0,21,27668
191.100.216.0,21,27668
191.100.224.0,21,27668
191.100.232.0,21,27668
191.100.240.0,21,27668
191.100.24.0,21,27668
191.100.248.0,21,27668
191.100.32.0,20,27668
191.100.32.0,21,27668
191.100.40.0,21,27668
191.100.48.0,20,27668
191.100.48.0,21,27668
191.100.56.0,21,27668
191.100.64.0,20,27668
191.100.64.0,21,27668
191.100.72.0,21,27668
191.100.80.0,20,27668
191.100.80.0,21,27668
191.100.8.0,24,27668
191.100.88.0,21,27668
191.100.9.0,24,27668
191.100.96.0,20,27668
191.100.96.0,21,27668
191.101.0.0,21,61440
191.101.112.0,20,61317
191.101.118.0,24,200617
191.101.120.0,24,200617
191.101.124.0,24,48666
191.101.135.0,24,36351
191.101.136.0,21,61440
191.101.144.0,23,61440
191.101.150.0,24,60458
191.101.151.0,24,60458
191.101.152.0,21,61440
191.101.160.0,20,61440
191.101.160.0,24,200859
191.101.16.0,24,60781
191.101.161.0,24,200859
191.101.162.0,23,50245
191.101.164.0,22,11878
191.101.164.0,24,50245
191.101.165.0,24,50245
191.101.166.0,24,50245
191.101.167.0,24,50245
191.101.168.0,24,50245
191.101.169.0,24,203380
191.101.17.0,24,13213
191.101.171.0,24,50245
191.101.172.0,22,61440
191.101.178.0,24,15003
191.101.179.0,24,36351
191.101.180.0,24,133398
191.101.18.0,23,61440
191.101.183.0,24,20473
191.101.190.0,23,61440
191.101.191.0,24,395619
191.101.198.0,23,61317
191.101.200.0,23,61317
191.101.20.0,23,35017
191.101.202.0,23,50245
191.101.208.0,22,61440
191.101.212.0,24,50245
191.101.213.0,24,50245
191.101.214.0,24,50245
191.101.215.0,24,50245
191.101.22.0,24,42831
191.101.224.0,20,61440
191.101.23.0,24,62000
191.101.240.0,24,17216
191.101.24.0,24,200557
191.101.241.0,24,61440
191.101.242.0,24,29791
191.101.243.0,24,49981
191.101.244.0,24,61440
191.101.245.0,24,30148
191.101.246.0,24,61440
