ip,prefix,origin
134.0.0.0,22,8220
134.0.104.0,23,29124
134.0.112.0,22,39134
134.0.112.0,24,197695
134.0.113.0,24,197695
134.0.114.0,24,197695
134.0.115.0,24,197695
134.0.116.0,22,39134
134.0.116.0,24,197695
134.0.117.0,24,197695
134.0.118.0,24,197695
134.0.119.0,24,197695
134.0.120.0,21,57353
134.0.16.0,21,56730
134.0.192.0,22,28885
134.0.208.0,23,28885
134.0.210.0,24,28885
134.0.212.0,22,28885
134.0.216.0,22,8529
134.0.24.0,21,48823
134.0.32.0,24,5576
134.0.33.0,24,5576
134.0.34.0,24,5576
134.0.35.0,24,5576
134.0.36.0,24,5576
134.0.37.0,24,5576
134.0.38.0,24,5576
134.0.39.0,24,5576
134.0.4.0,22,8220
134.0.48.0,24,42391
134.0.49.0,24,42391
134.0.50.0,24,42391
134.0.51.0,24,42391
134.0.53.0,24,5576
134.0.54.0,24,5576
134.0.55.0,24,5576
134.0.56.0,24,5576
134.0.57.0,24,5576
134.0.58.0,24,5576
134.0.61.0,24,5576
134.0.62.0,24,5576
134.0.63.0,24,5576
134.0.64.0,21,41695
134.0.72.0,21,35914
134.0.72.0,24,35914
134.0.73.0,24,35914
134.0.74.0,24,35914
134.0.75.0,24,35914
134.0.76.0,22,35914
134.0.80.0,21,58173
134.0.80.0,22,58173
134.0.8.0,21,197712
134.0.84.0,24,58173
134.0.88.0,22,34012
134.0.88.0,24,34012
134.0.90.0,23,34012
134.0.92.0,23,34012
134.0.92.0,24,34012
134.0.93.0,24,34012
134.0.96.0,20,29124
134.100.0.0,16,680
134.10.0.0,16,3356
134.1.0.0,16,680
134.102.0.0,16,680
134.103.0.0,16,553
134.104.0.0,14,680
134.105.0.0,16,42873
134.107.195.0,24,42873
134.107.202.0,24,42873
134.107.209.0,24,5520
134.107.216.0,23,5520
134.107.225.0,24,5520
134.107.226.0,23,5520
134.108.0.0,16,553
134.109.0.0,16,680
134.110.0.0,16,680
134.11.0.0,16,6041
134.111.0.0,16,394990
134.112.0.0,16,10455
134.113.0.0,16,11309
134.113.224.0,21,6461
134.113.7.0,24,11309
134.114.0.0,16,21582
134.115.0.0,16,7575
134.117.0.0,16,29773
134.117.247.0,24,29773
134.117.249.0,24,29773
134.117.250.0,24,29773
134.117.251.0,24,29773
134.118.112.0,22,1202
134.118.96.0,19,1202
134.119.0.0,16,34011
134.119.10.0,24,20773
134.119.1.0,24,20773
134.119.11.0,24,20773
134.119.13.0,24,20773
134.119.17.0,24,20773
134.119.19.0,24,20773
134.119.20.0,24,20773
134.119.2.0,24,20773
134.119.208.0,20,29066
134.119.21.0,24,20773
134.119.224.0,24,20773
134.119.225.0,24,20773
134.119.226.0,24,20773
134.119.227.0,24,20773
134.119.228.0,24,20773
134.119.229.0,24,20773
134.119.230.0,24,20773
134.119.233.0,24,20773
134.119.234.0,24,20773
134.119.235.0,24,20773
134.119.236.0,24,20773
134.119.237.0,24,20773
134.119.24.0,24,20773
134.119.243.0,24,20773
134.119.249.0,24,20773
134.119.250.0,24,20773
134.119.252.0,24,20773
134.119.253.0,24,20773
134.119.26.0,24,20773
134.119.28.0,24,20773
134.119.30.0,24,20773
134.119.3.0,24,20773
134.119.32.0,24,20773
134.119.36.0,24,20773
134.119.39.0,24,20773
134.119.4.0,24,20773
134.119.41.0,24,20773
134.119.42.0,24,20773
134.119.43.0,24,20773
134.119.45.0,24,20773
134.119.46.0,24,20773
134.119.49.0,24,20773
134.119.5.0,24,20773
134.119.54.0,24,20773
134.119.55.0,24,20773
134.119.7.0,24,20773
134.119.8.0,24,20773
134.119.85.0,24,20773
134.119.86.0,24,20773
134.119.9.0,24,20773
134.12.0.0,17,41
134.121.0.0,16,11827
134.12.192.0,21,41
134.122.224.0,24,7385
134.122.240.0,21,7385
134.124.0.0,16,46832
134.125.0.0,16,1761
134.126.0.0,16,10357
134.128.36.0,22,4637
134.128.40.0,24,3549
134.128.41.0,24,3549
134.128.42.0,24,3549
134.128.43.0,24,3549
134.128.72.0,22,39326
134.128.80.0,22,29240
134.128.84.0,22,8612
134.128.88.0,22,8612
134.128.92.0,22,1257
134.129.0.0,16,19530
134.129.128.0,18,6263
134.129.192.0,19,6263
134.130.0.0,16,47610
134.13.0.0,16,157
134.131.0.0,16,132
134.132.22.0,23,8896
134.132.224.0,24,62
134.132.225.0,24,62
134.132.29.0,24,22717
134.132.30.0,24,22717
134.132.40.0,21,22717
134.132.40.0,22,22717
134.132.44.0,22,22717
134.132.48.0,21,22717
134.132.48.0,22,22717
134.132.52.0,22,22717
134.132.56.0,21,22717
134.132.56.0,22,22717
134.132.60.0,22,22717
134.132.64.0,24,22717
134.132.68.0,24,9822
134.132.72.0,22,22717
134.132.72.0,23,22717
134.132.74.0,23,22717
134.132.76.0,24,22717
134.134.0.0,16,4983
134.134.0.0,17,4983
134.134.128.0,17,4983
134.134.136.0,22,4983
134.134.136.0,24,4983
134.134.137.0,24,4983
134.134.138.0,24,4983
134.134.139.0,24,4983
134.134.214.0,24,4983
134.135.0.0,16,721
134.135.1.0,24,27064
134.135.112.0,20,27064
134.135.16.0,20,27064
134.135.208.0,20,27064
134.135.246.0,24,27064
134.135.248.0,24,27064
134.135.249.0,24,27064
134.135.32.0,20,27066
134.135.48.0,20,27065
134.135.64.0,20,27064
134.135.96.0,20,27064
134.136.0.0,16,132
134.137.0.0,16,246
134.137.180.0,24,246
134.138.0.0,16,158
134.139.0.0,16,2152
134.140.0.0,16,32432
134.14.0.0,16,157
134.141.0.0,16,6363
134.144.108.0,24,38809
134.144.110.0,24,9822
134.144.218.0,23,2687
134.144.240.0,23,2687
134.144.244.0,24,24435
134.144.245.0,24,24435
134.144.68.0,24,38809
134.144.72.0,21,1221
134.144.80.0,24,1221
134.146.0.0,16,3917
134.146.0.0,21,3917
134.146.10.0,24,3917
134.146.11.0,24,4275001219
134.146.11.0,24,5384
134.146.128.0,20,3917
134.146.13.0,24,3917
134.146.194.0,24,2119
134.146.197.0,24,8968
134.146.204.0,23,8386
134.146.206.0,23,8447
134.146.232.0,21,3917
134.146.240.0,23,3918
134.146.245.0,24,3301
134.146.36.0,22,3917
134.146.40.0,22,3917
134.146.44.0,23,3917
134.146.64.0,18,3917
134.147.0.0,16,29484
134.148.0.0,16,7575
134.15.0.0,16,157
134.151.0.0,16,786
134.152.0.0,16,6039
134.153.0.0,16,6579
134.154.0.0,16,2152
134.155.0.0,16,553
134.156.0.0,16,20239
134.157.0.0,16,1307
134.158.0.0,16,789
134.158.103.0,24,789
134.158.120.0,21,2200
134.158.159.0,24,2200
134.158.195.0,24,2200
134.158.72.0,23,2200
134.158.78.0,24,2200
134.159.0.0,16,4637
134.159.0.0,18,4637
134.159.0.0,19,4637
134.159.100.0,24,4637
134.159.102.0,23,4637
134.159.102.0,24,4637
134.159.104.0,24,4637
134.159.106.0,24,4637
134.159.107.0,24,4637
