ip,prefix,origin
121.0.0.0,21,7594
121.0.0.0,24,7594
121.0.1.0,24,7594
121.0.128.0,17,38661
121.0.16.0,21,37963
121.0.2.0,24,7594
121.0.24.0,22,37963
121.0.28.0,22,37963
121.0.3.0,24,7594
121.0.32.0,20,9595
121.0.4.0,24,7594
121.0.48.0,21,9595
121.0.5.0,24,7594
121.0.6.0,24,7594
121.0.64.0,18,18328
121.0.7.0,24,7594
121.100.0.0,21,38158
121.100.0.0,22,38158
121.100.104.0,21,18334
121.100.112.0,21,18334
121.100.120.0,21,18334
121.100.16.0,22,9341
121.100.16.0,24,9341
121.100.17.0,24,9341
121.100.18.0,24,9341
121.1.0.0,18,10139
121.100.19.0,24,9341
121.1.0.0,20,10139
121.1.0.0,21,10139
121.100.22.0,23,9341
121.100.22.0,24,9341
121.1.0.0,22,10139
121.100.23.0,24,9341
121.100.24.0,24,38761
121.100.25.0,24,38761
121.100.26.0,24,38761
121.100.27.0,24,38761
121.100.28.0,24,38761
121.100.29.0,24,38761
121.100.30.0,24,38761
121.100.31.0,24,38761
121.100.32.0,20,38258
121.100.4.0,22,38158
121.100.48.0,21,38742
121.100.48.0,24,38742
121.100.49.0,24,38742
121.100.50.0,24,38742
121.100.51.0,24,38742
121.100.52.0,24,38742
121.100.53.0,24,38742
121.100.54.0,24,38742
121.100.55.0,24,38742
121.100.56.0,21,4694
121.100.64.0,21,18334
121.100.72.0,21,18334
121.100.80.0,21,18334
121.100.8.0,21,23776
121.100.88.0,21,18334
121.100.96.0,21,18334
121.10.104.0,23,58543
121.10.106.0,24,58543
121.10.107.0,24,58543
121.10.108.0,23,58543
121.10.110.0,23,58543
121.10.112.0,22,58543
121.101.128.0,24,131706
121.101.129.0,24,131706
121.101.130.0,24,131706
121.101.131.0,24,131706
121.101.132.0,24,131706
121.101.133.0,24,131706
121.101.134.0,24,131706
121.101.135.0,24,131706
121.101.136.0,21,24130
121.101.144.0,24,55517
121.101.160.0,21,2764
121.101.160.0,24,133419
121.10.116.0,22,58543
121.101.161.0,24,133419
121.101.162.0,24,133419
121.101.163.0,24,133419
121.101.164.0,24,133419
121.101.165.0,24,133419
121.101.166.0,24,133419
121.101.168.0,22,4515
121.101.172.0,24,9381
121.101.176.0,21,38869
121.101.184.0,24,38785
121.101.185.0,24,38785
121.101.186.0,24,38785
121.101.187.0,24,38785
121.101.188.0,24,38785
121.101.189.0,24,38785
121.101.190.0,24,38785
121.101.191.0,24,38785
121.101.192.0,21,38662
121.101.200.0,24,4766
121.10.120.0,21,58543
121.101.201.0,24,38662
121.101.202.0,24,4766
121.101.204.0,24,4766
121.101.206.0,24,4766
121.101.208.0,20,23724
121.101.209.0,24,63691
121.101.222.0,24,59050
121.101.224.0,19,10036
121.101.236.0,22,10036
121.101.240.0,20,10036
121.10.132.0,24,58543
121.10.133.0,24,58543
121.10.134.0,24,58543
121.10.135.0,24,58543
121.10.136.0,22,58543
121.10.140.0,22,58543
121.101.64.0,18,2527
121.10.172.0,23,58543
121.102.0.0,16,2497
121.10.240.0,21,58543
121.10.24.0,22,58543
121.103.0.0,16,2527
121.104.0.0,16,2516
121.10.40.0,24,4813
121.105.0.0,16,2516
121.106.0.0,16,2516
121.107.0.0,16,2516
121.108.0.0,16,2516
121.109.0.0,16,2516
121.110.0.0,16,2516
121.1.104.0,21,9694
121.111.0.0,17,2516
121.111.128.0,18,2516
121.111.192.0,19,2516
121.1.112.0,21,9694
121.111.224.0,19,2516
121.11.148.0,24,58543
121.11.149.0,24,58543
121.11.150.0,24,58543
121.11.158.0,24,58543
121.11.159.0,24,58543
121.11.171.0,24,58543
121.112.0.0,13,4713
121.1.120.0,21,9694
121.11.252.0,22,58543
121.1.128.0,17,4685
121.1.16.0,20,10139
121.1.16.0,21,10139
121.11.64.0,21,58543
121.11.72.0,22,58543
121.11.76.0,22,58543
121.11.80.0,20,58543
121.120.0.0,15,9534
121.120.0.0,16,9534
121.121.0.0,16,9534
121.12.104.0,21,134763
121.12.112.0,20,134763
121.12.168.0,21,134763
121.122.0.0,15,9534
121.122.0.0,16,9534
