ip,prefix,origin
89.0.0.0,15,8422
89.100.0.0,15,6830
89.100.0.0,16,6830
89.10.0.0,15,15659
89.101.0.0,16,6830
89.102.0.0,15,6830
89.102.0.0,16,6830
89.103.0.0,16,6830
89.104.0.0,19,8559
89.104.116.0,22,31323
89.104.120.0,22,31323
89.104.124.0,23,31323
89.104.126.0,24,206670
89.104.127.0,24,43267
89.104.128.0,19,39532
89.104.160.0,19,49544
89.104.192.0,19,34848
89.104.224.0,19,39522
89.104.239.0,24,3356
89.104.239.0,24,3549
89.104.32.0,19,29009
89.104.64.0,19,39494
89.104.76.0,22,39494
89.104.88.0,24,39494
89.104.94.0,24,39494
89.104.96.0,20,31323
89.105.0.0,19,29297
89.105.136.0,21,42304
89.105.144.0,24,39785
89.105.145.0,24,39785
89.105.146.0,24,39785
89.105.149.0,24,39785
89.105.150.0,24,39785
89.105.151.0,24,39785
89.105.152.0,24,39785
89.105.153.0,24,39785
89.105.155.0,24,39785
89.105.156.0,24,39785
89.105.157.0,24,39785
89.105.158.0,24,39785
89.105.160.0,19,39555
89.105.192.0,19,24875
89.105.213.0,24,203507
89.105.216.0,23,21159
89.105.224.0,19,12883
89.105.224.0,23,6703
89.105.226.0,24,6703
89.105.227.0,24,6703
89.105.228.0,23,6703
89.105.230.0,23,6703
89.105.232.0,23,6703
89.105.234.0,23,6703
89.105.236.0,24,6703
89.105.237.0,24,6703
89.105.238.0,24,6703
89.105.239.0,24,6703
89.105.240.0,23,6703
89.105.242.0,23,6703
89.105.244.0,23,6703
89.105.246.0,24,6703
89.105.247.0,24,6703
89.105.248.0,24,6703
89.105.249.0,24,6703
89.105.250.0,23,6703
89.105.252.0,24,6703
89.105.253.0,24,6703
89.105.254.0,24,6703
89.105.255.0,24,6703
89.105.32.0,19,16186
89.105.64.0,19,41381
89.105.96.0,19,39545
89.106.0.0,24,39582
89.106.100.0,24,42248
89.106.10.0,24,39582
89.106.101.0,24,13306
89.106.102.0,23,13306
89.106.1.0,24,39582
89.106.104.0,23,13306
89.106.106.0,24,42248
89.106.107.0,24,13306
89.106.108.0,23,13306
89.106.110.0,23,42248
89.106.11.0,24,39582
89.106.112.0,23,42248
89.106.114.0,23,42248
89.106.116.0,23,42248
89.106.118.0,23,42248
89.106.120.0,23,42248
89.106.12.0,24,39582
89.106.122.0,23,42248
89.106.124.0,23,42248
89.106.126.0,24,42248
89.106.127.0,24,13306
89.106.128.0,21,39846
89.106.13.0,24,39582
89.106.136.0,24,51173
89.106.137.0,24,51173
89.106.138.0,24,51173
89.106.139.0,24,51173
89.106.140.0,24,51173
89.106.14.0,24,39582
89.106.141.0,24,51173
89.106.142.0,24,51173
89.106.143.0,24,51173
89.106.144.0,23,42262
89.106.146.0,23,42262
89.106.148.0,23,42262
89.106.150.0,23,42262
89.106.15.0,24,39582
89.106.152.0,21,41213
89.106.160.0,21,50554
89.106.16.0,24,39582
89.106.168.0,21,29226
89.106.17.0,24,39582
89.106.176.0,24,14127
89.106.178.0,24,14127
89.106.18.0,24,39582
89.106.182.0,23,14127
89.106.184.0,21,5630
89.106.184.0,22,5630
89.106.188.0,22,5630
89.106.19.0,24,39582
89.106.192.0,21,44895
89.106.198.0,24,44895
89.106.200.0,21,39773
89.106.20.0,24,39582
89.106.2.0,24,39582
89.106.208.0,21,39837
89.106.21.0,24,39582
89.106.216.0,21,39702
89.106.22.0,24,39582
89.106.224.0,21,199448
89.106.23.0,24,39582
89.106.232.0,21,9198
89.106.232.0,24,9198
89.106.234.0,24,9198
89.106.240.0,21,31669
89.106.24.0,24,39582
89.106.248.0,24,39741
89.106.249.0,24,39741
89.106.250.0,24,39741
89.106.25.0,24,39582
89.106.251.0,24,39741
89.106.252.0,24,39741
89.106.253.0,24,39741
89.106.254.0,24,39741
89.106.255.0,24,39741
89.106.26.0,24,39582
89.106.27.0,24,39582
89.106.28.0,24,39582
89.106.29.0,24,39582
89.106.30.0,24,39582
89.106.3.0,24,39582
89.106.31.0,24,39582
89.106.32.0,19,1741
89.106.4.0,24,39582
89.106.5.0,24,39582
89.106.6.0,24,39582
89.106.64.0,19,31530
89.106.67.0,24,31530
89.106.69.0,24,31530
89.106.73.0,24,31530
89.106.74.0,24,31530
89.106.77.0,24,31530
89.106.78.0,24,31530
89.106.8.0,24,39582
89.106.85.0,24,31530
89.106.86.0,24,31530
89.106.87.0,24,31530
89.106.88.0,24,31530
89.106.90.0,24,31530
89.106.9.0,24,39582
89.106.91.0,24,31530
89.106.92.0,24,31530
89.106.93.0,24,31530
89.106.96.0,24,42248
89.106.97.0,24,42248
89.106.98.0,24,42248
89.106.99.0,24,42248
89.107.0.0,21,42455
89.107.0.0,22,42455
89.107.100.0,24,41124
89.107.101.0,24,41124
89.107.102.0,24,41124
89.107.103.0,24,41124
89.107.104.0,21,8564
89.107.112.0,21,39812
89.107.120.0,21,39821
89.107.128.0,23,40964
89.107.130.0,23,40964
89.107.132.0,23,40964
89.107.134.0,24,40964
89.107.135.0,24,40964
89.107.136.0,21,44963
89.107.136.0,23,44963
89.107.138.0,24,44963
89.107.139.0,24,44963
89.107.140.0,23,44963
89.107.142.0,24,44963
89.107.143.0,24,44963
89.107.144.0,21,39854
89.107.152.0,21,39869
89.107.160.0,21,16097
89.107.16.0,21,15830
89.107.168.0,21,25593
89.107.176.0,24,15810
89.107.177.0,24,15810
89.107.178.0,24,15810
89.107.179.0,24,15810
89.107.180.0,24,15810
89.107.181.0,24,15810
89.107.182.0,24,15810
89.107.183.0,24,15810
89.107.184.0,21,12843
89.107.192.0,21,40993
89.107.192.0,23,40993
89.107.197.0,24,40993
89.107.200.0,21,49342
89.107.208.0,20,49079
89.107.209.0,24,49079
89.107.221.0,24,49079
89.107.224.0,24,43260
89.107.225.0,24,43260
89.107.226.0,24,43260
89.107.227.0,24,43260
89.107.228.0,24,43260
89.107.229.0,24,43260
89.107.230.0,24,43260
89.107.231.0,24,43260
89.107.232.0,22,29045
89.107.236.0,22,29045
89.107.240.0,22,40973
89.107.244.0,23,40973
89.107.246.0,23,40973
89.107.248.0,24,20845
89.107.249.0,24,51275
89.107.250.0,24,29657
89.107.251.0,24,29657
89.107.252.0,24,29657
89.107.253.0,24,12301
89.107.32.0,21,12494
89.107.4.0,22,42455
89.107.44.0,24,41021
89.107.46.0,23,41021
89.107.48.0,21,39780
89.107.52.0,23,39780
89.107.56.0,21,59764
89.107.64.0,21,30962
89.107.72.0,21,44226
89.107.73.0,24,44226
89.107.74.0,24,44226
89.107.77.0,24,44226
89.107.79.0,24,44226
89.107.80.0,21,21332
89.107.80.0,24,21332
89.107.8.0,21,31488
89.107.8.0,23,31488
89.107.8.0,24,31488
89.107.81.0,24,21332
89.107.82.0,24,21332
89.107.83.0,24,21332
89.107.84.0,24,21332
89.107.85.0,24,21332
89.107.86.0,24,21332
89.107.87.0,24,21332
89.107.88.0,21,39808
89.107.96.0,24,41124
89.107.97.0,24,41124
89.107.98.0,24,41124
89.107.99.0,24,41124
89.108.0.0,18,41176
89.108.100.0,24,43146
89.108.101.0,24,43146
89.108.102.0,24,43146
89.108.104.0,22,43146
89.108.104.0,24,43146
89.108.105.0,24,43146
89.108.106.0,24,43146
89.108.107.0,24,43146
89.108.108.0,22,43146
89.108.112.0,20,43146
89.108.114.0,23,43146
89.108.128.0,24,31126
89.108.129.0,24,31126
89.108.130.0,24,31126
89.108.131.0,24,31126
89.108.132.0,24,202772
89.108.133.0,24,31126
89.108.135.0,24,31126
89.108.136.0,22,31126
89.108.136.0,24,62144
89.108.137.0,24,31126
89.108.138.0,24,31126
89.108.139.0,24,31126
89.108.140.0,22,31126
89.108.141.0,24,31126
89.108.142.0,24,31126
89.108.143.0,24,31126
89.108.144.0,24,31126
89.108.145.0,24,31126
