ip,prefix,origin
65.0.0.0,12,6389
65.0.0.0,18,6389
65.0.0.0,19,6389
65.0.128.0,18,7018
65.0.192.0,19,6389
65.0.224.0,19,7018
65.0.40.0,22,6389
65.0.50.0,23,6389
65.0.64.0,18,7018
65.100.0.0,14,209
65.10.0.0,16,6389
65.10.0.0,17,6389
65.100.12.0,24,18980
65.100.13.0,24,209
65.100.13.0,24,3910
65.1.0.0,19,6389
65.100.230.0,24,46284
65.100.48.0,24,36172
65.100.96.0,21,209
65.101.176.0,20,209
65.101.207.0,24,22658
65.10.128.0,17,6389
65.103.146.0,24,16491
65.103.208.0,21,209
65.103.220.0,24,14230
65.103.96.0,23,10835
65.103.98.0,24,22658
65.103.99.0,24,22658
65.104.0.0,14,2828
65.104.2.0,23,11676
65.107.133.0,24,23509
65.107.183.0,24,36748
65.108.0.0,15,11022
65.110.0.0,19,25668
65.11.0.0,16,6389
65.11.0.0,17,6389
65.110.128.0,19,11351
65.110.160.0,20,12188
65.110.160.0,21,12188
65.110.160.0,24,36031
65.110.161.0,24,12188
65.110.162.0,23,12188
65.110.164.0,23,36030
65.110.166.0,23,36030
65.110.168.0,22,12188
65.110.172.0,24,30715
65.110.173.0,24,31934
65.110.174.0,23,12188
65.110.176.0,20,36030
65.110.192.0,19,5645
65.110.224.0,19,2698
65.110.32.0,20,395374
65.110.41.0,24,21840
65.110.48.0,21,395374
65.110.56.0,24,21840
65.110.57.0,24,21840
65.110.58.0,24,21840
65.110.59.0,24,21840
65.110.60.0,24,21840
65.110.61.0,24,21840
65.110.62.0,24,21840
65.110.64.0,19,14992
65.110.96.0,19,20392
65.111.102.0,24,7459
65.111.103.0,24,7459
65.111.104.0,24,7459
65.111.105.0,24,7459
65.111.108.0,22,7459
65.111.114.0,23,7459
65.111.116.0,23,7459
65.111.118.0,23,7459
65.111.120.0,23,7459
65.111.122.0,23,7459
65.111.124.0,23,7459
65.111.126.0,23,7459
65.111.128.0,21,2711
65.111.136.0,22,2711
65.111.140.0,24,6231
65.111.141.0,24,2711
65.111.142.0,24,6231
65.111.143.0,24,6231
65.111.152.0,24,20453
65.111.156.0,24,22652
65.111.157.0,24,21548
65.111.158.0,24,21548
65.111.160.0,19,15083
65.111.192.0,19,54376
65.111.224.0,20,4307
65.111.240.0,20,30691
65.111.241.0,24,30691
65.111.242.0,24,30691
65.111.243.0,24,20193
65.111.243.0,24,30691
65.111.245.0,24,30691
65.111.246.0,24,30691
65.111.247.0,24,30691
65.111.248.0,24,30691
65.111.250.0,24,30691
65.111.252.0,24,30691
65.111.253.0,24,30691
65.111.254.0,24,30691
65.111.255.0,24,30691
65.11.128.0,17,6389
65.111.32.0,21,30221
65.111.40.0,24,30462
65.111.42.0,24,20112
65.111.44.0,23,30221
65.111.48.0,20,22138
65.111.64.0,19,18990
65.111.64.0,24,18990
65.111.65.0,24,18990
65.111.72.0,23,572
65.111.72.0,24,572
65.111.73.0,24,572
65.111.75.0,24,18990
65.111.81.0,24,18990
65.111.87.0,24,18990
65.111.89.0,24,18990
65.111.92.0,24,18990
65.111.96.0,19,7459
65.112.0.0,12,209
65.112.0.0,20,1742
65.112.115.0,24,22379
65.112.132.0,24,16526
65.112.137.0,24,40911
65.112.140.0,24,16526
65.112.145.0,24,14434
65.112.146.0,23,14434
65.112.146.0,24,14434
65.112.147.0,24,14434
65.112.148.0,23,14434
65.112.148.0,24,14434
65.112.149.0,24,53323
65.112.155.0,24,32561
65.112.188.0,24,11505
65.112.237.0,24,7352
65.112.28.0,23,13866
65.112.63.0,24,47095
65.112.87.0,24,40122
65.113.104.0,21,14434
65.113.104.0,24,14434
65.113.105.0,24,14434
65.113.106.0,24,14434
65.113.107.0,24,14434
65.113.108.0,23,14434
65.113.108.0,24,14434
65.113.109.0,24,14434
65.113.110.0,24,14434
65.113.111.0,24,14434
65.113.180.0,23,16526
65.113.180.0,24,16526
65.113.181.0,24,16526
65.113.196.0,23,53282
65.113.203.0,24,393806
65.113.212.0,24,394046
