ip,prefix,origin
80.0.0.0,13,5089
80.0.0.0,15,5089
80.0.0.0,16,5089
80.100.0.0,15,3265
80.1.0.0,16,5089
80.1.0.0,17,5089
80.10.159.0,24,28708
80.10.16.0,20,8376
80.10.161.0,24,28708
80.10.200.0,24,3215
80.102.0.0,16,12479
80.102.0.0,22,12479
80.10.20.0,22,8376
80.10.201.0,24,3215
80.10.202.0,24,3215
80.10.203.0,24,3215
80.102.112.0,20,12479
80.102.128.0,20,12479
80.102.144.0,20,12479
80.102.160.0,20,12479
80.102.176.0,20,12479
80.102.192.0,20,12479
80.102.208.0,21,12479
80.102.224.0,21,12479
80.102.232.0,21,12479
80.102.240.0,22,12479
80.102.24.0,22,12479
80.102.244.0,22,12479
80.102.248.0,22,12479
80.102.252.0,22,12479
80.102.28.0,22,12479
80.102.32.0,22,12479
80.102.36.0,22,12479
80.102.40.0,22,12479
80.10.24.0,22,8376
80.102.44.0,22,12479
80.102.48.0,21,12479
80.10.250.0,23,3215
80.102.56.0,22,12479
80.102.60.0,22,12479
80.102.64.0,20,12479
80.102.80.0,20,12479
80.102.8.0,21,12479
80.102.96.0,20,12479
80.103.0.0,16,12479
80.103.0.0,20,12479
80.103.112.0,21,12479
80.103.120.0,22,12479
80.103.122.0,24,12479
80.103.123.0,24,12479
80.103.124.0,22,12479
80.103.128.0,21,12479
80.103.128.0,22,12479
80.103.132.0,22,12479
80.103.136.0,22,12479
80.103.140.0,22,12479
80.103.144.0,20,12479
80.103.160.0,22,12479
80.103.16.0,21,12479
80.103.164.0,22,12479
80.103.168.0,21,12479
80.103.176.0,20,12479
80.103.192.0,21,12479
80.103.200.0,22,12479
80.103.204.0,22,12479
80.103.208.0,20,12479
80.103.224.0,19,12479
80.103.24.0,21,12479
80.103.32.0,21,12479
80.103.40.0,21,12479
80.103.48.0,20,12479
80.103.80.0,20,12479
80.103.96.0,20,12479
80.104.0.0,16,3269
80.10.4.0,23,28708
80.104.128.0,17,3269
80.10.46.0,24,28708
80.104.64.0,18,3269
80.104.64.0,19,3269
80.10.48.0,20,8376
80.10.48.0,23,8376
80.105.0.0,16,3269
80.10.50.0,23,8376
80.105.128.0,17,3269
80.10.52.0,23,8376
80.10.54.0,24,8376
80.10.55.0,24,8376
80.10.56.0,24,8376
80.105.64.0,18,3269
80.10.57.0,24,8376
80.10.58.0,24,8376
80.10.59.0,24,8376
80.106.0.0,15,6799
80.106.0.0,16,6799
80.10.60.0,24,8376
80.10.61.0,24,8376
80.10.64.0,20,8376
80.10.64.0,21,8376
80.107.0.0,16,6799
80.10.72.0,22,8376
80.10.76.0,23,8376
80.108.0.0,15,6830
80.108.0.0,16,6830
80.109.0.0,16,6830
80.110.0.0,16,6830
80.110.0.0,17,6830
80.11.0.0,16,3215
80.110.128.0,17,6830
80.111.0.0,16,6830
80.111.0.0,17,6830
80.111.128.0,17,6830
80.112.0.0,17,9143
80.112.0.0,18,9143
80.112.128.0,18,9143
80.112.128.0,19,9143
80.112.160.0,19,9143
