ip,prefix,origin
190.0.0.0,19,13489
190.0.101.0,24,28038
190.0.102.0,24,28038
190.0.103.0,24,28038
190.0.105.0,24,28038
190.0.106.0,24,28038
190.0.107.0,24,28038
190.0.108.0,24,28038
190.0.109.0,24,28038
190.0.110.0,24,28038
190.0.111.0,24,28038
190.0.112.0,20,28038
190.0.112.0,24,28038
190.0.115.0,24,28038
190.0.120.0,24,28038
190.0.128.0,19,6057
190.0.128.0,20,6057
190.0.144.0,20,6057
190.0.160.0,19,3356
190.0.160.0,19,3549
190.0.160.0,23,3356
190.0.160.0,23,3549
190.0.160.0,24,28111
190.0.161.0,24,28111
190.0.162.0,23,3356
190.0.162.0,23,3549
190.0.162.0,24,28111
190.0.163.0,24,28111
190.0.164.0,23,3356
190.0.164.0,23,3549
190.0.164.0,24,28111
190.0.166.0,23,3356
190.0.166.0,23,3549
190.0.166.0,24,28111
190.0.168.0,21,28111
190.0.176.0,20,28111
190.0.192.0,19,27737
190.0.224.0,21,263713
190.0.224.0,24,263713
190.0.225.0,24,263713
190.0.226.0,24,263713
190.0.227.0,24,263713
190.0.228.0,24,203335
190.0.229.0,24,263713
190.0.230.0,24,263713
190.0.231.0,24,263713
190.0.232.0,21,28073
190.0.232.0,22,28073
190.0.232.0,23,28073
190.0.232.0,24,28073
190.0.233.0,24,28073
190.0.234.0,23,28073
190.0.234.0,24,28073
190.0.235.0,24,28073
190.0.236.0,22,28073
190.0.236.0,23,28073
190.0.236.0,24,28073
190.0.237.0,24,28073
190.0.238.0,23,28073
190.0.238.0,24,28073
190.0.239.0,24,28073
190.0.240.0,24,27951
190.0.241.0,24,27951
190.0.242.0,24,18678
190.0.243.0,24,27951
190.0.244.0,24,18678
190.0.245.0,24,27951
190.0.246.0,24,27951
190.0.247.0,24,27951
190.0.248.0,21,27882
190.0.248.0,23,27882
190.0.250.0,23,27882
190.0.252.0,23,27882
190.0.253.0,24,27882
190.0.254.0,23,27882
190.0.32.0,20,13489
190.0.48.0,20,13489
190.0.64.0,19,23520
190.0.64.0,19,46198
190.0.72.0,21,46198
190.0.96.0,20,28038
190.0.99.0,24,28038
190.100.0.0,16,22047
190.100.0.0,20,22047
190.10.0.0,17,3790
190.10.0.0,19,3790
190.10.0.0,21,3790
190.100.112.0,20,22047
190.100.128.0,20,22047
190.100.144.0,20,22047
190.100.160.0,20,22047
190.100.16.0,20,22047
190.100.176.0,20,22047
190.100.192.0,20,22047
190.1.0.0,19,27833
190.100.208.0,20,22047
190.1.0.0,21,27833
190.100.224.0,20,22047
190.1.0.0,23,27833
190.100.240.0,20,22047
190.100.32.0,20,22047
190.100.48.0,20,22047
190.100.64.0,20,22047
190.100.80.0,20,22047
190.100.96.0,20,22047
190.10.100.0,24,11830
190.101.0.0,17,22047
190.101.0.0,21,22047
190.10.10.0,24,3790
190.10.102.0,24,11830
190.10.105.0,24,11830
190.10.106.0,24,11830
190.10.107.0,24,11830
190.10.108.0,24,11830
190.10.109.0,24,11830
190.10.11.0,24,3790
190.101.104.0,21,22047
190.101.112.0,21,22047
190.101.120.0,21,22047
190.101.128.0,17,22047
190.101.128.0,19,22047
190.101.160.0,19,22047
190.101.16.0,21,22047
190.101.192.0,19,22047
190.10.122.0,24,3790
190.101.224.0,19,22047
190.10.123.0,24,3790
190.101.24.0,21,22047
190.10.128.0,17,14522
190.10.128.0,19,14522
190.10.13.0,24,3790
190.101.32.0,21,22047
190.101.40.0,21,22047
190.10.14.0,24,3790
190.101.48.0,21,22047
190.10.15.0,24,3790
190.101.56.0,21,22047
190.10.160.0,19,14522
190.10.160.0,22,14522
190.101.64.0,21,22047
190.10.164.0,22,14522
190.10.168.0,22,14522
190.101.72.0,21,22047
190.10.172.0,22,14522
190.10.176.0,22,14522
190.101.80.0,21,22047
190.101.8.0,21,22047
190.101.88.0,21,22047
190.10.192.0,19,14522
190.101.96.0,21,22047
190.10.196.0,22,14522
190.10.200.0,22,14522
190.102.0.0,20,27734
190.10.20.0,22,3790
190.10.204.0,22,14522
190.102.100.0,22,35017
190.102.111.0,24,20473
190.102.112.0,24,20462
190.102.113.0,24,20462
190.102.114.0,24,20462
190.102.115.0,24,20462
190.102.116.0,24,20462
190.102.117.0,24,20462
190.102.118.0,24,20462
190.102.128.0,19,27843
190.102.128.0,23,27843
190.102.130.0,23,27843
190.102.132.0,23,27843
190.102.134.0,23,27843
190.102.134.0,24,27843
190.102.136.0,23,27843
190.102.138.0,23,27843
190.102.140.0,23,27843
190.102.142.0,23,27843
190.102.144.0,23,27843
190.102.146.0,23,27843
190.102.146.0,24,27843
190.102.148.0,23,27843
190.102.150.0,23,27843
190.102.152.0,23,27843
190.102.154.0,23,27843
190.102.155.0,24,27843
190.102.156.0,23,27843
190.102.156.0,24,27843
190.102.158.0,23,27843
190.102.159.0,24,27843
190.102.160.0,19,27975
190.102.160.0,24,27975
190.102.16.0,20,27734
190.102.161.0,24,27975
190.102.162.0,24,27975
190.102.163.0,24,27975
190.102.164.0,24,27975
190.102.192.0,24,27831
190.102.193.0,24,27831
190.102.194.0,24,27831
190.102.195.0,24,27831
190.102.196.0,23,27831
190.102.196.0,24,27831
190.102.197.0,24,27831
190.102.198.0,24,27831
190.102.199.0,24,27831
190.102.200.0,22,27831
190.102.204.0,23,27831
190.102.206.0,23,27831
190.102.208.0,21,27831
190.102.216.0,21,27831
190.102.224.0,20,27901
190.102.224.0,21,27901
190.102.232.0,21,27901
190.102.240.0,20,27901
190.102.240.0,21,27901
190.10.224.0,19,14522
190.10.224.0,22,14522
190.102.248.0,21,27901
190.102.252.0,24,27901
190.10.228.0,22,14522
190.102.32.0,20,30361
190.10.232.0,22,14522
190.10.236.0,22,14522
190.10.240.0,23,14522
190.102.48.0,21,6568
190.10.25.0,24,3790
190.102.56.0,23,28005
190.102.58.0,23,28005
190.102.60.0,22,28005
190.10.26.0,24,3790
190.102.64.0,19,52260
190.102.65.0,24,52260
190.102.66.0,24,52260
190.10.27.0,24,3790
190.102.71.0,24,52260
190.102.72.0,22,52260
190.102.76.0,22,52260
190.102.80.0,22,52260
190.10.28.0,24,3790
190.102.84.0,22,52260
190.102.88.0,22,52260
190.10.29.0,24,3790
190.102.95.0,24,52260
190.102.96.0,23,35899
190.102.98.0,23,7029
190.103.0.0,22,13316
190.103.0.0,24,13316
190.10.30.0,24,3790
190.103.100.0,24,27855
190.103.10.0,24,13316
190.103.101.0,24,27855
190.103.102.0,24,27855
190.103.1.0,24,13316
190.10.31.0,24,3790
190.103.103.0,24,27855
190.103.104.0,24,27855
190.103.105.0,24,27855
190.103.106.0,24,27855
190.103.107.0,24,27855
190.103.108.0,24,27855
190.103.109.0,24,27855
190.103.110.0,24,27855
190.103.11.0,24,13316
