ip,prefix,origin
119.0.0.0,15,4134
119.10.0.0,23,23724
119.10.10.0,23,23724
119.10.112.0,21,4847
119.10.120.0,21,23724
119.10.120.0,21,4808
119.10.12.0,22,23724
119.10.128.0,23,24243
119.10.130.0,23,1221
119.10.132.0,22,1221
119.10.136.0,21,24243
119.10.147.0,24,56103
119.10.148.0,23,45816
119.10.149.0,24,56103
119.10.150.0,24,45816
119.10.151.0,24,45816
119.10.152.0,24,45816
119.10.153.0,24,45816
119.10.154.0,24,45816
119.10.155.0,24,45816
119.10.156.0,24,45816
119.10.157.0,24,45816
119.10.158.0,24,45816
119.10.159.0,24,55480
119.10.160.0,21,17940
119.10.16.0,23,23724
119.10.168.0,22,45572
119.10.168.0,24,45572
119.10.169.0,24,45572
119.10.170.0,24,30981
119.10.170.0,24,45572
119.10.171.0,24,45572
119.10.172.0,22,38592
119.10.173.0,24,38592
119.10.174.0,24,38592
119.10.175.0,24,38592
119.10.176.0,21,24530
119.10.176.0,22,24530
119.10.176.0,23,24530
119.10.176.0,24,24530
119.10.177.0,24,24530
119.10.178.0,23,24530
119.10.179.0,24,24530
119.10.180.0,22,24530
119.10.180.0,23,24530
119.10.180.0,24,24530
119.10.18.0,23,23724
119.10.182.0,23,24530
119.10.184.0,21,17698
119.10.192.0,18,2497
119.10.20.0,22,23724
119.10.2.0,23,23724
119.10.24.0,21,23724
119.10.32.0,24,23724
119.10.32.0,24,4808
119.10.33.0,24,23724
119.10.33.0,24,4808
119.10.34.0,23,23724
119.10.34.0,23,4808
119.10.36.0,22,23724
119.10.36.0,22,4808
119.104.0.0,16,2516
119.10.40.0,21,23724
119.10.40.0,21,4808
119.10.4.0,22,23724
119.10.48.0,20,23724
119.10.48.0,20,4808
119.105.0.0,16,2516
119.106.0.0,16,2516
119.10.64.0,19,23724
119.10.64.0,19,4808
119.107.0.0,17,2516
119.107.128.0,18,2516
119.107.192.0,18,2516
119.108.0.0,15,4837
119.10.8.0,23,23724
119.10.96.0,20,23724
119.10.96.0,20,4808
119.110.0.0,18,24218
119.11.0.0,17,133612
119.110.100.0,24,17971
119.110.101.0,24,17971
119.110.103.0,24,17971
119.110.105.0,24,17971
119.110.106.0,24,17971
119.110.107.0,24,17971
119.110.108.0,24,17971
119.110.109.0,24,17971
119.110.109.0,24,18206
119.110.110.0,24,17971
119.110.112.0,24,45147
119.110.113.0,24,45147
119.110.114.0,24,45147
119.110.115.0,24,55818
119.110.116.0,23,55818
119.110.116.0,24,55818
119.110.118.0,24,55818
119.110.119.0,24,45147
119.110.120.0,24,45147
119.110.121.0,24,45147
119.110.122.0,24,45147
