ip,prefix,origin
200.0.100.0,23,262559
200.0.102.0,24,264198
200.0.111.0,24,17072
200.0.112.0,24,17072
200.0.113.0,24,17072
200.0.114.0,24,264185
200.0.116.0,24,16629
200.0.118.0,23,12252
200.0.12.0,22,263251
200.0.126.0,24,3549
200.0.132.0,24,8151
200.0.134.0,23,264261
200.0.144.0,24,11340
200.0.145.0,24,11340
200.0.148.0,24,19077
200.0.149.0,24,19077
200.0.156.0,24,16874
200.0.158.0,24,16874
200.0.160.0,24,13774
200.0.16.0,24,11960
200.0.163.0,24,13774
200.0.166.0,24,262235
200.0.167.0,24,19180
200.0.17.0,24,11058
200.0.17.0,24,14551
200.0.174.0,24,27946
200.0.175.0,24,27779
200.0.176.0,23,27654
200.0.178.0,24,27972
200.0.179.0,24,262149
200.0.180.0,24,12127
200.0.180.0,24,27785
200.0.182.0,24,27981
200.0.183.0,24,27981
200.0.184.0,24,10753
200.0.185.0,24,7340
200.0.187.0,24,28039
200.0.19.0,24,52294
200.0.192.0,23,10834
200.0.193.0,24,10834
200.0.194.0,23,3549
200.0.195.0,24,3549
200.0.196.0,23,3549
200.0.201.0,24,27663
200.0.202.0,23,58934
200.0.204.0,22,27750
200.0.204.168,30,27841
200.0.208.0,24,7005
200.0.209.0,24,7005
200.0.210.0,24,7005
200.0.21.0,24,28017
200.0.211.0,24,7005
200.0.212.0,24,7005
200.0.213.0,24,7005
200.0.214.0,24,7005
200.0.215.0,24,7005
200.0.216.0,21,2688
200.0.224.0,24,10834
200.0.228.0,24,10834
200.0.230.0,24,10834
200.0.23.0,24,27781
200.0.232.0,24,10834
200.0.233.0,24,10834
200.0.234.0,24,10834
200.0.236.0,24,10834
200.0.238.0,24,10834
200.0.239.0,24,10834
200.0.24.0,22,27725
200.0.243.0,24,10834
200.0.245.0,24,10834
200.0.247.0,24,10834
200.0.255.0,24,10834
200.0.28.0,22,27947
200.0.28.0,23,27820
200.0.30.0,23,27820
200.0.32.0,20,61889
200.0.48.0,21,262434
200.0.48.0,22,262434
200.0.48.0,23,262434
200.0.49.0,24,262434
200.0.50.0,23,262434
