ip,prefix,origin
118.0.0.0,12,4713
118.100.0.0,16,4788
118.100.0.0,17,4788
118.100.0.0,18,4788
118.100.128.0,17,4788
118.100.128.0,18,4788
118.100.192.0,18,4788
118.100.64.0,18,4788
118.101.0.0,16,4788
118.101.0.0,17,4788
118.101.0.0,18,4788
118.101.128.0,17,4788
118.101.128.0,18,4788
118.101.192.0,18,4788
118.101.64.0,18,4788
118.102.0.0,21,38244
118.102.0.0,24,38244
118.102.10.0,24,38186
118.102.104.0,24,7545
118.102.107.0,24,7545
118.102.109.0,24,7545
118.102.11.0,24,38186
118.102.116.0,22,7545
118.102.12.0,24,38186
118.102.122.0,24,7545
118.102.125.0,24,7545
118.102.127.0,24,7545
118.102.128.0,17,10201
118.102.128.0,17,45334
118.102.128.0,24,10201
118.102.128.0,24,45334
118.102.129.0,24,10201
118.102.130.0,24,10201
118.102.13.0,24,38186
118.102.131.0,24,10201
118.102.132.0,24,10201
118.102.133.0,24,10201
118.102.134.0,24,10201
118.102.135.0,24,10201
118.102.135.0,24,45334
118.102.136.0,24,10201
118.102.137.0,24,10201
118.102.138.0,24,10201
118.102.140.0,24,10201
118.102.14.0,24,38186
118.102.141.0,24,10201
118.102.142.0,24,10201
118.102.143.0,24,10201
118.102.143.0,24,45334
118.102.144.0,24,10201
118.102.144.0,24,45334
118.102.145.0,24,10201
118.102.146.0,24,10201
118.102.147.0,24,10201
118.102.148.0,24,10201
118.102.148.0,24,45334
118.102.149.0,24,10201
118.102.150.0,24,10201
118.102.15.0,24,38186
118.102.151.0,24,10201
118.102.153.0,24,10201
118.102.154.0,24,10201
118.102.154.0,24,45334
118.102.155.0,24,10201
118.102.155.0,24,45334
118.102.156.0,24,10201
118.102.157.0,24,45334
118.102.158.0,24,10201
118.102.159.0,24,10201
118.102.160.0,24,10201
118.102.16.0,21,4847
118.102.161.0,24,10201
118.102.162.0,24,10201
118.102.163.0,24,10201
118.102.164.0,24,10201
118.102.164.0,24,45334
118.102.165.0,24,10201
118.102.166.0,24,10201
118.102.167.0,24,10201
118.102.167.0,24,45334
118.102.168.0,24,10201
118.102.169.0,24,10201
118.102.170.0,24,10201
118.102.171.0,24,10201
118.102.172.0,24,10201
118.102.173.0,24,10201
118.102.173.0,24,45334
118.102.174.0,24,10201
118.102.175.0,24,10201
118.102.176.0,24,10201
118.102.177.0,24,10201
118.102.178.0,24,10201
118.102.179.0,24,10201
118.102.180.0,24,10201
118.102.181.0,24,10201
118.102.182.0,24,10201
118.102.184.0,24,10201
118.102.185.0,24,10201
118.102.186.0,24,55831
118.102.187.0,24,10201
118.102.188.0,24,10201
118.102.189.0,24,10201
118.102.190.0,24,10201
118.102.191.0,24,10201
118.102.193.0,24,10201
118.102.194.0,24,10201
118.102.195.0,24,10201
118.102.195.0,24,45334
118.102.196.0,24,10201
118.102.197.0,24,10201
118.102.198.0,24,10201
118.102.199.0,24,10201
118.102.200.0,24,10201
118.102.201.0,24,10201
118.102.202.0,24,10201
118.102.2.0,24,38244
118.102.203.0,24,10201
118.102.204.0,24,10201
118.102.205.0,24,10201
118.102.206.0,24,10201
118.102.207.0,24,10201
118.102.208.0,24,10201
118.102.208.0,24,45334
118.102.209.0,24,10201
118.102.210.0,24,10201
118.102.212.0,24,10201
118.102.213.0,24,10201
118.102.214.0,24,10201
118.102.215.0,24,45334
118.102.216.0,24,10201
118.102.217.0,24,10201
118.102.217.0,24,45334
118.102.219.0,24,10201
118.102.220.0,24,10201
118.102.220.0,24,45334
118.102.22.0,23,59050
118.102.221.0,24,10201
118.102.221.0,24,45334
118.102.222.0,24,10201
118.102.222.0,24,45334
118.102.223.0,24,10201
118.102.223.0,24,45334
118.102.224.0,24,10201
118.102.225.0,24,10201
118.102.225.0,24,45334
118.102.226.0,24,10201
118.102.227.0,24,10201
118.102.227.0,24,45334
