ip,prefix,origin
86.0.0.0,11,5089
86.0.0.0,13,5089
86.0.0.0,14,5089
86.0.0.0,15,5089
86.0.0.0,16,5089
86.100.0.0,17,39007
86.100.0.0,24,39007
86.10.0.0,16,5089
86.10.0.0,17,5089
86.100.128.0,18,39007
86.100.128.0,19,39007
86.1.0.0,16,5089
86.100.200.0,21,39007
86.100.208.0,20,39007
86.100.224.0,21,39007
86.100.232.0,23,39007
86.100.236.0,22,39007
86.100.240.0,21,39007
86.100.240.0,24,39007
86.100.248.0,21,39007
86.100.64.0,20,39007
86.100.64.0,21,39007
86.101.0.0,16,6830
86.101.0.0,17,6830
86.101.128.0,17,6830
86.10.128.0,17,5089
86.102.0.0,16,12332
86.102.0.0,18,12332
86.102.0.0,19,12389
86.102.128.0,18,12332
86.102.140.0,23,12389
86.102.188.0,23,12389
86.102.192.0,18,12332
86.102.204.0,23,12389
86.102.234.0,23,12389
86.102.32.0,20,12389
86.102.64.0,18,12332
86.103.0.0,16,13101
86.103.4.0,24,57667
86.104.0.0,23,51490
86.104.11.0,24,62374
86.104.112.0,21,48095
86.104.120.0,22,48095
86.104.12.0,24,40974
86.104.124.0,24,41571
86.104.125.0,24,39107
86.104.126.0,24,60194
86.104.127.0,24,56654
86.104.128.0,22,31017
86.104.13.0,24,5588
86.104.132.0,23,56871
86.104.136.0,21,6830
86.104.14.0,24,60781
86.104.144.0,21,34560
86.104.15.0,24,44901
86.104.152.0,21,1653
86.104.160.0,21,51737
86.104.160.0,22,51737
86.104.16.0,24,33977
86.104.164.0,22,51737
86.104.168.0,21,48095
86.104.17.0,24,5588
86.104.176.0,24,43376
86.104.177.0,24,43376
86.104.178.0,24,43376
86.104.179.0,24,43376
86.104.180.0,24,43376
86.104.18.0,24,39758
86.104.182.0,24,43376
86.104.183.0,24,43376
86.104.184.0,21,31554
86.104.19.0,24,44289
86.104.192.0,24,44289
86.104.193.0,24,5541
86.104.194.0,24,44563
86.104.195.0,24,44289
86.104.196.0,22,8926
86.104.200.0,21,1653
86.104.20.0,22,48095
86.104.2.0,24,51490
86.104.208.0,24,60194
86.104.209.0,24,9050
86.104.210.0,24,25116
86.104.211.0,24,47915
86.104.213.0,24,200603
86.104.214.0,24,20616
86.104.215.0,24,41571
86.104.216.0,22,31605
86.104.220.0,24,49468
86.104.221.0,24,44626
86.104.222.0,23,44204
86.104.224.0,23,44204
86.104.226.0,24,39543
86.104.227.0,24,41571
86.104.228.0,23,39756
86.104.230.0,24,49948
86.104.231.0,24,34916
86.104.232.0,21,39501
86.104.240.0,21,48159
86.104.24.0,22,29119
86.104.248.0,22,48095
86.104.252.0,23,197922
86.104.254.0,23,51992
86.104.28.0,23,200039
86.104.30.0,23,34916
86.104.3.0,24,5588
86.104.32.0,20,25184
86.104.4.0,24,8953
86.104.48.0,20,1653
