ip,prefix,origin
27.0.0.0,22,16509
27.0.100.0,22,56115
27.0.100.0,24,56115
27.0.10.0,24,10102
27.0.101.0,24,56115
27.0.102.0,24,56115
27.0.103.0,24,56115
27.0.104.0,22,56115
27.0.104.0,24,56115
27.0.105.0,24,56115
27.0.106.0,24,56115
27.0.107.0,24,56115
27.0.108.0,22,56115
27.0.108.0,24,56115
27.0.109.0,24,56115
27.0.110.0,24,56115
27.0.11.0,24,10102
27.0.111.0,24,56115
27.0.112.0,20,56115
27.0.112.0,21,56115
27.0.112.0,22,56115
27.0.112.0,24,56115
27.0.116.0,22,56115
27.0.116.0,24,56115
27.0.117.0,24,56115
27.0.118.0,24,56115
27.0.119.0,24,56115
27.0.120.0,21,56115
27.0.120.0,22,56115
27.0.120.0,24,56115
27.0.12.0,22,45544
27.0.12.0,23,45544
27.0.121.0,24,56115
27.0.122.0,24,56115
27.0.123.0,24,56115
27.0.124.0,22,56115
27.0.127.0,24,56115
27.0.128.0,24,4837
27.0.130.0,23,4837
27.0.136.0,22,9829
27.0.140.0,24,132954
27.0.14.0,23,45544
27.0.141.0,24,132954
27.0.142.0,24,132954
27.0.143.0,24,132954
27.0.144.0,22,9829
27.0.148.0,22,9829
27.0.152.0,22,132737
27.0.152.0,23,132737
27.0.152.0,24,132737
27.0.153.0,24,132737
27.0.154.0,23,132737
27.0.154.0,24,132737
27.0.155.0,24,132737
27.0.156.0,22,26658
27.0.16.0,20,55900
27.0.168.0,22,132971
27.0.168.0,24,132971
27.0.169.0,24,132971
27.0.170.0,24,132971
27.0.171.0,24,132971
27.0.172.0,22,58438
27.0.176.0,22,45942
27.0.176.0,24,45942
27.0.177.0,24,45942
27.0.178.0,24,45942
27.0.179.0,24,45942
27.0.180.0,22,45942
27.0.180.0,24,45942
27.0.181.0,24,45942
27.0.182.0,24,45942
27.0.183.0,24,45942
27.0.192.0,22,38197
27.0.192.0,24,38197
27.0.193.0,24,38197
27.0.194.0,24,38197
27.0.195.0,24,38197
27.0.196.0,24,59288
27.0.197.0,24,59288
27.0.198.0,24,59288
27.0.199.0,24,59288
27.0.216.0,22,9829
27.0.220.0,22,9829
27.0.228.0,22,134871
27.0.232.0,24,133752
