ip,prefix,origin
155.0.0.0,16,37532
155.100.0.0,16,17055
155.10.0.0,16,852
155.100.194.0,23,17055
155.100.8.0,24,17055
155.101.0.0,16,17055
155.101.66.0,24,17055
155.10.39.0,24,852
155.104.0.0,16,1906
155.105.0.0,16,559
155.106.0.0,21,7018
155.106.128.0,21,7018
155.107.129.0,24,26685
155.107.40.0,24,26685
155.107.48.0,24,2386
155.109.0.0,16,10273
155.109.171.0,24,10273
155.109.175.0,24,10273
155.109.19.0,24,10273
155.109.20.0,24,10273
155.109.24.0,23,10273
155.109.29.0,24,10273
155.109.35.0,24,10273
155.109.5.0,24,10273
155.110.160.0,24,33372
155.110.168.0,24,33372
155.110.169.0,24,33372
155.110.170.0,24,33372
155.110.171.0,24,33372
155.110.172.0,24,33372
155.110.173.0,24,33372
155.110.174.0,24,33372
155.110.175.0,24,33372
155.111.0.0,16,11003
155.111.130.0,23,61153
155.111.132.0,23,61153
155.111.136.0,23,61153
155.111.138.0,24,61153
155.111.140.0,23,61153
155.111.143.0,24,61153
155.111.144.0,23,61153
155.111.146.0,23,61153
155.111.148.0,24,61153
155.111.149.0,24,61153
155.111.150.0,23,61153
155.111.154.0,23,61153
155.111.160.0,23,61153
155.111.165.0,24,61153
155.111.166.0,24,61153
155.111.168.0,24,61153
155.111.170.0,24,61153
155.111.171.0,24,61153
155.111.174.0,24,61153
155.111.176.0,24,61153
155.111.178.0,24,61153
155.111.180.0,24,61153
155.111.182.0,24,61153
155.111.184.0,24,61153
155.111.186.0,24,61153
155.111.188.0,24,61153
155.111.190.0,24,61153
155.111.193.0,24,61153
155.111.194.0,24,61153
155.111.195.0,24,61153
155.111.196.0,24,61153
155.111.197.0,24,61153
155.111.198.0,24,61153
155.111.199.0,24,61153
155.111.201.0,24,61153
155.111.202.0,24,61153
155.111.203.0,24,61153
155.111.204.0,24,61153
155.111.241.0,24,61153
155.112.0.0,16,11003
155.113.0.0,16,11003
155.114.0.0,15,11003
155.116.0.0,15,11003
155.118.0.0,16,11003
155.119.0.0,16,11003
155.120.0.0,15,11003
155.12.0.0,17,37084
155.12.192.0,19,328056
155.122.0.0,16,11003
155.12.24.0,24,37084
155.123.0.0,16,11003
155.124.0.0,14,11003
155.124.244.0,24,35163
155.125.25.0,24,35163
155.126.18.0,23,35163
155.126.5.0,24,35163
155.126.8.0,24,35163
155.128.0.0,16,11003
155.128.121.0,24,2159
155.128.142.0,24,15442
155.129.0.0,16,11003
155.130.0.0,16,23005
155.13.0.0,16,7127
155.130.128.0,22,23005
155.131.0.0,16,13114
155.133.0.0,24,59804
155.133.1.0,24,198004
155.133.104.0,21,198401
155.133.11.0,24,59804
155.133.112.0,21,197592
155.133.112.0,21,2
155.133.120.0,24,201307
155.133.12.0,22,201953
155.133.121.0,24,60695
155.133.122.0,24,200609
155.133.123.0,24,34844
155.133.124.0,24,198401
155.133.125.0,24,57889
155.133.126.0,24,200605
155.133.127.0,24,51619
155.133.128.0,21,203476
155.133.16.0,23,50606
155.133.16.0,24,200642
155.133.18.0,23,201122
155.133.192.0,24,15699
155.133.193.0,24,15699
155.133.194.0,24,50271
155.133.195.0,24,15699
155.133.196.0,22,201341
155.133.200.0,21,62365
155.133.20.0,23,50606
155.133.2.0,24,61056
155.133.208.0,20,62365
155.133.22.0,23,43171
155.133.224.0,23,32590
155.133.227.0,24,32590
155.133.228.0,23,32590
155.133.232.0,24,32590
155.133.233.0,24,32590
155.133.234.0,24,32590
155.133.239.0,24,32590
155.133.240.0,23,32590
155.133.24.0,22,198414
155.133.242.0,23,32590
155.133.244.0,24,32590
155.133.245.0,24,32590
155.133.246.0,23,32590
155.133.248.0,24,32590
155.133.249.0,24,32590
155.133.252.0,24,32590
155.133.253.0,24,32590
155.133.255.0,24,32590
155.133.28.0,24,43495
155.133.29.0,24,200577
155.133.30.0,23,47252
155.133.32.0,23,60695
155.133.34.0,24,200672
155.133.35.0,24,61056
155.133.36.0,23,47252
155.133.38.0,24,197226
155.133.39.0,24,47252
