ip,prefix,origin
108.0.0.0,16,5650
108.100.0.0,16,3651
108.101.0.0,16,3651
108.10.128.0,19,701
108.102.0.0,16,3651
108.10.224.0,19,5650
108.103.0.0,16,3651
108.104.0.0,16,3651
108.105.0.0,17,3651
108.105.128.0,17,3651
108.106.0.0,16,3651
108.107.0.0,16,3651
108.108.0.0,16,3651
108.109.0.0,16,3651
108.110.0.0,16,3651
108.11.0.0,18,701
108.111.0.0,16,3651
108.11.128.0,19,701
108.11.160.0,19,701
108.11.192.0,18,701
108.112.0.0,17,3651
108.112.128.0,17,3651
108.1.128.0,19,701
108.113.0.0,16,3651
108.114.0.0,16,3651
108.115.0.0,16,3651
108.116.128.0,17,3651
108.117.0.0,16,3651
108.118.0.0,16,3651
108.119.0.0,17,3651
108.119.128.0,17,3651
108.1.192.0,19,701
108.1.194.0,24,5650
108.1.199.0,24,5650
108.120.0.0,17,3651
108.12.0.0,18,701
108.120.128.0,17,3651
108.121.0.0,17,3651
108.1.211.0,24,5650
108.121.128.0,17,3651
108.12.113.0,24,5650
108.12.128.0,19,701
108.1.214.0,24,5650
108.12.160.0,19,701
108.12.192.0,18,701
108.122.0.0,17,3651
108.1.221.0,24,5650
108.122.128.0,17,3651
108.1.224.0,19,701
108.123.0.0,17,3651
108.123.128.0,17,3651
108.124.0.0,17,3651
108.124.128.0,17,3651
108.125.0.0,17,3651
108.125.128.0,17,3651
108.12.64.0,18,701
108.127.0.0,16,3651
108.128.0.0,12,6389
108.128.0.0,19,7018
108.128.128.0,19,7018
108.128.160.0,19,7018
108.128.192.0,19,7018
108.12.82.0,24,5650
108.128.224.0,19,7018
108.12.83.0,24,5650
108.128.32.0,19,7018
108.12.84.0,24,5650
108.128.64.0,19,7018
108.128.96.0,19,7018
108.129.0.0,16,6389
108.130.0.0,19,7018
108.13.0.0,16,5650
108.130.32.0,19,7018
108.130.64.0,19,7018
108.130.96.0,19,7018
108.131.0.0,17,7018
108.131.128.0,17,7018
108.13.124.0,24,5650
108.13.144.0,24,5650
108.132.0.0,15,7018
108.134.0.0,17,7018
108.134.128.0,17,7018
108.135.0.0,17,6389
108.13.85.0,24,5650
108.13.98.0,24,5650
108.140.0.0,16,7018
108.14.0.0,16,701
108.14.226.0,24,701
108.14.35.0,24,701
108.144.0.0,18,20057
108.144.128.0,18,20057
108.144.192.0,18,20057
