ip,prefix,origin
159.0.0.0,16,25019
159.0.0.0,17,25019
159.0.0.0,18,25019
159.0.0.0,19,25019
159.0.128.0,19,25019
159.0.160.0,20,25019
159.0.176.0,20,25019
159.0.192.0,18,25019
159.0.192.0,19,25019
159.0.224.0,19,25019
159.0.32.0,19,25019
159.0.64.0,18,25019
159.0.64.0,19,25019
159.0.96.0,19,25019
159.100.0.0,19,44066
159.10.0.0,16,23084
159.100.128.0,19,13768
159.1.0.0,16,4193
159.100.176.0,24,36351
159.100.177.0,24,36351
159.100.178.0,24,36351
159.100.179.0,24,36351
159.100.180.0,24,36351
159.100.181.0,24,36351
159.100.182.0,23,36351
159.100.184.0,24,36351
159.100.185.0,24,36351
159.100.186.0,24,36351
159.100.187.0,24,36351
159.100.188.0,24,36351
159.100.189.0,24,36351
159.100.190.0,24,36351
159.100.192.0,24,11179
159.100.193.0,24,11179
159.100.194.0,24,11179
159.100.195.0,24,11179
159.100.196.0,24,11179
159.100.198.0,24,11179
159.100.199.0,24,11179
159.100.200.0,24,11179
159.100.201.0,24,11179
159.100.202.0,24,11179
159.100.203.0,24,11179
159.100.204.0,24,11179
159.100.205.0,24,11179
159.100.206.0,24,11179
159.100.207.0,24,11179
159.100.208.0,22,13382
159.100.216.0,21,63013
159.100.224.0,20,202167
159.100.224.0,24,202167
159.100.230.0,24,202167
159.100.240.0,20,61098
159.100.240.0,24,61098
159.100.241.0,24,61098
159.100.248.0,21,61098
159.100.248.0,22,61098
159.100.252.0,23,61098
159.100.254.0,24,61098
159.100.64.0,18,33915
159.10.10.0,24,23084
159.101.128.0,21,197972
159.101.128.0,22,197972
159.101.132.0,22,197972
159.101.156.0,22,197972
159.101.158.0,23,197972
159.101.252.0,22,43422
159.10.128.0,24,23084
159.10.129.0,24,23084
159.10.131.0,24,23084
159.10.132.0,24,23084
159.10.133.0,24,23084
159.10.134.0,24,23084
159.10.136.0,24,23084
159.10.137.0,24,23084
159.10.138.0,24,23084
159.10.200.0,23,7381
159.10.208.0,22,2856
159.10.208.0,23,2856
159.10.210.0,23,2856
159.103.0.0,16,13283
159.10.3.0,24,23084
159.104.0.0,16,16050
159.10.4.0,24,23084
159.104.162.0,24,16050
159.104.163.0,24,16050
159.104.6.0,24,16050
159.105.0.0,16,11577
159.107.0.0,16,158
159.108.0.0,16,2024
159.108.1.0,24,2024
159.108.5.0,24,2024
159.110.0.0,17,19113
159.110.128.0,17,19113
159.113.101.0,24,7018
159.113.102.0,24,7018
159.113.109.0,24,7018
159.113.111.0,24,7018
159.113.118.0,24,7018
159.113.120.0,24,7018
159.113.200.0,22,16860
159.113.204.0,24,16860
159.113.205.0,24,16860
159.113.206.0,24,16860
159.113.207.0,24,16860
159.113.210.0,24,16860
159.113.211.0,24,16860
159.113.251.0,24,16860
159.113.252.0,24,16860
159.113.253.0,24,16860
159.113.60.0,24,16860
159.115.0.0,16,10294
159.116.0.0,16,53280
159.116.252.0,23,53280
159.116.254.0,23,53280
159.117.1.0,24,23655
159.117.160.0,24,21565
159.117.161.0,24,21565
159.117.162.0,24,21565
159.117.163.0,24,21565
159.117.164.0,24,21565
159.117.165.0,24,21565
159.117.166.0,24,21565
159.117.167.0,24,21565
159.117.168.0,24,21565
159.117.170.0,24,21565
159.117.171.0,24,21565
159.117.172.0,24,21565
159.117.173.0,24,21565
159.117.174.0,24,21565
159.117.175.0,24,21565
159.117.176.0,24,21565
159.117.177.0,24,21565
159.117.178.0,24,21565
159.117.179.0,24,21565
159.117.180.0,24,21565
159.117.181.0,24,21565
159.117.182.0,24,21565
159.117.183.0,24,21565
159.117.184.0,24,21565
159.117.185.0,24,21565
159.117.186.0,24,21565
159.117.187.0,24,21565
159.117.188.0,24,21565
159.117.189.0,24,21565
159.117.190.0,24,21565
159.117.191.0,24,21565
159.117.224.0,19,9269
159.117.48.0,20,36105
159.118.0.0,24,11492
159.118.100.0,22,11492
159.118.1.0,24,11492
159.118.104.0,21,11492
159.118.112.0,21,11492
159.118.120.0,21,11492
159.118.128.0,22,11492
159.118.132.0,22,11492
159.118.136.0,21,11492
159.118.144.0,20,11492
159.118.160.0,20,11492
159.118.16.0,20,11492
159.118.176.0,21,11492
159.118.192.0,21,11492
159.118.200.0,22,11492
159.118.2.0,24,11492
159.118.204.0,24,11492
159.118.209.0,24,11492
159.118.210.0,23,11492
159.118.212.0,23,11492
159.118.214.0,23,11492
159.118.216.0,22,11492
159.118.220.0,22,11492
159.118.224.0,20,11492
159.118.240.0,21,11492
159.118.248.0,22,11492
159.118.252.0,23,11492
159.118.254.0,24,11492
159.118.255.0,24,11492
159.118.3.0,24,11492
159.118.32.0,20,11492
159.118.4.0,22,11492
159.118.48.0,20,11492
159.118.64.0,20,11492
159.118.80.0,21,11492
159.118.8.0,21,11492
159.118.88.0,21,11492
159.118.96.0,22,11492
159.119.0.0,16,10746
159.121.0.0,16,1798
159.12.192.0,20,204284
159.122.0.0,18,36351
159.122.128.0,18,36351
159.122.192.0,18,36351
159.122.64.0,18,36351
159.123.127.0,24,11452
159.123.192.0,18,30459
159.124.0.0,16,16983
159.124.224.0,19,3549
159.125.50.0,23,26585
159.125.50.0,24,26585
159.125.51.0,24,26585
159.125.78.0,23,26585
159.125.78.0,24,26585
159.125.79.0,24,26585
159.126.0.0,24,3356
159.126.1.0,24,3356
159.127.111.0,24,209
159.127.112.0,24,209
159.127.113.0,24,209
159.127.158.0,24,21935
159.127.160.0,24,21935
159.127.161.0,24,21935
159.127.180.0,23,21935
159.127.182.0,23,19137
159.127.184.0,23,19137
159.127.186.0,24,19137
