ip,prefix,origin
72.0.111.0,24,30217
72.0.112.0,24,46908
72.0.126.0,24,3356
72.0.128.0,19,13536
72.0.160.0,19,21864
72.0.160.0,21,21864
72.0.168.0,21,21864
72.0.176.0,20,21864
72.0.192.0,19,26198
72.0.195.0,24,26198
72.0.208.0,22,26198
72.0.212.0,23,26198
72.0.224.0,20,19940
72.0.224.0,23,19940
72.0.227.0,24,19940
72.0.240.0,20,15321
72.0.24.0,22,23173
72.0.29.0,24,23173
72.0.32.0,20,11711
72.0.32.0,21,11711
72.0.4.0,23,23173
72.0.48.0,24,42
72.0.49.0,24,42
72.0.50.0,24,42
72.0.51.0,24,42
72.0.52.0,24,42
72.0.53.0,24,42
72.0.54.0,24,42
72.0.55.0,24,42
72.0.56.0,24,42
72.0.57.0,24,42
72.0.58.0,24,42
72.0.59.0,24,42
72.0.60.0,24,42
72.0.6.0,23,23173
72.0.61.0,24,42
72.0.62.0,24,42
72.0.63.0,24,42
72.0.64.0,20,30528
72.0.8.0,21,23173
72.0.96.0,19,3356
72.10.0.0,19,23265
72.1.0.0,19,7268
72.10.104.0,22,22742
72.10.108.0,22,22742
72.10.108.0,24,29867
72.10.112.0,21,22742
72.10.113.0,24,22742
72.10.114.0,24,22742
72.10.115.0,24,54360
72.10.118.0,23,22742
72.10.120.0,21,22742
72.10.128.0,19,16532
72.10.160.0,20,36666
72.10.164.0,22,36666
72.10.168.0,22,36666
72.10.176.0,22,22931
72.10.180.0,22,22931
72.10.186.0,23,22931
72.10.188.0,23,22931
72.10.190.0,24,22931
72.10.192.0,19,22302
72.10.193.0,24,22302
72.10.200.0,23,22302
72.10.203.0,24,36100
72.10.208.0,22,22302
72.10.212.0,23,22302
72.10.215.0,24,21627
72.10.224.0,19,209
72.10.32.0,21,31815
72.103.240.0,21,22394
72.103.248.0,21,22394
72.104.0.0,21,22394
72.10.40.0,21,31815
72.104.104.0,21,22394
72.104.112.0,21,22394
72.104.120.0,21,22394
72.104.128.0,21,22394
72.104.136.0,21,22394
72.104.144.0,21,22394
72.104.152.0,21,22394
72.104.160.0,21,22394
72.104.16.0,21,22394
72.104.168.0,21,22394
72.104.176.0,21,22394
72.104.184.0,21,22394
72.104.192.0,21,22394
72.104.200.0,21,22394
72.104.208.0,21,22394
72.104.216.0,21,22394
72.104.224.0,21,22394
72.104.232.0,21,22394
72.104.240.0,21,22394
72.104.24.0,21,22394
72.104.248.0,21,22394
72.104.32.0,21,22394
72.104.40.0,21,22394
72.104.48.0,21,22394
72.104.56.0,21,22394
72.104.64.0,21,22394
72.104.72.0,21,22394
72.104.80.0,21,22394
72.104.8.0,21,22394
72.10.48.0,21,31815
72.104.88.0,21,22394
72.104.96.0,21,22394
72.105.0.0,21,22394
72.105.104.0,21,22394
72.105.112.0,21,22394
72.105.120.0,21,22394
72.105.128.0,21,22394
72.105.136.0,21,22394
72.105.144.0,21,22394
72.105.152.0,21,22394
72.105.160.0,21,22394
72.105.16.0,21,22394
72.105.168.0,21,22394
72.105.176.0,21,22394
72.105.184.0,23,22394
72.105.186.0,23,22394
72.105.188.0,23,22394
72.105.190.0,23,22394
72.105.192.0,21,22394
72.105.200.0,21,22394
72.105.208.0,21,22394
72.105.216.0,21,22394
72.105.224.0,21,22394
72.105.232.0,21,22394
72.105.240.0,21,22394
72.105.24.0,21,22394
72.105.248.0,21,22394
72.105.32.0,21,22394
