ip,prefix,origin
165.0.0.0,16,37053
165.100.0.0,18,10006
165.100.104.0,24,10006
165.100.105.0,24,10006
165.100.106.0,24,10006
165.100.107.0,24,10006
165.100.108.0,24,10006
165.100.109.0,24,10006
165.100.110.0,24,10006
165.100.111.0,24,10006
165.100.112.0,21,10006
165.100.120.0,24,10006
165.100.121.0,24,10006
165.100.122.0,24,10006
165.100.123.0,24,10006
165.100.124.0,24,10006
165.100.125.0,24,10006
165.100.126.0,24,10006
165.100.127.0,24,10006
165.100.128.0,18,2519
165.1.0.0,16,7297
165.100.192.0,20,9999
165.100.208.0,20,10006
165.100.224.0,19,10006
165.100.64.0,19,10006
165.100.96.0,21,10006
165.103.0.0,21,394053
165.104.0.0,16,26305
165.104.249.0,24,26305
165.104.251.0,24,26305
165.104.252.0,24,26305
165.104.253.0,24,26305
165.104.254.0,24,26305
165.104.255.0,24,26305
165.106.0.0,16,3795
165.107.0.0,16,2642
165.107.212.0,24,2642
165.107.213.0,24,2642
165.107.42.0,24,2642
165.107.66.0,24,2642
165.107.91.0,24,2642
165.108.0.0,16,4713
165.109.128.0,19,7926
165.109.128.0,20,7926
165.109.204.0,22,7926
165.109.204.0,24,7926
165.109.208.0,22,7926
165.109.224.0,20,7926
165.109.64.0,20,7926
165.109.96.0,20,7926
165.110.0.0,16,4185
165.1.1.0,24,7297
165.111.2.0,24,393248
165.111.3.0,24,393248
165.112.0.0,20,30387
165.112.0.0,21,30387
165.112.124.0,23,30387
165.112.127.0,24,30387
165.112.128.0,17,3527
165.112.136.0,21,30387
165.112.137.0,24,3527
165.112.138.0,24,3527
165.112.140.0,24,393689
165.112.16.0,20,3527
165.112.194.0,23,30387
165.112.200.0,22,30387
165.112.200.0,23,30387
165.112.252.0,23,30387
165.112.32.0,19,3527
165.112.32.0,22,30387
165.112.34.0,23,393689
165.112.6.0,23,393689
165.112.64.0,18,3527
165.112.8.0,22,393689
165.113.0.0,16,4544
165.115.0.0,16,14014
165.115.63.0,24,14014
165.1.159.0,24,7297
165.1.160.0,24,7297
165.117.0.0,16,2828
165.117.222.0,24,62779
165.117.227.0,24,29874
165.118.0.0,16,38288
165.1.192.0,22,7297
165.120.0.0,16,2856
165.1.200.0,24,7297
165.12.0.0,16,9509
165.121.0.0,16,6983
165.122.0.0,16,3372
165.122.0.0,19,3372
165.122.152.0,21,3372
165.122.160.0,19,3372
165.122.192.0,18,3375
165.122.223.0,24,3372
165.122.32.0,20,3375
165.122.48.0,20,1672
165.122.96.0,20,3376
165.123.0.0,16,55
165.124.0.0,17,103
165.1.240.0,24,7297
165.1.241.0,24,7297
165.124.128.0,19,103
165.124.160.0,20,103
165.124.176.0,21,103
165.124.184.0,22,103
165.124.188.0,22,29384
165.124.192.0,19,103
165.1.242.0,24,7297
165.124.224.0,21,103
165.124.232.0,22,103
165.124.236.0,22,29384
165.124.240.0,20,103
165.1.243.0,24,7297
165.1.249.0,24,7297
165.125.0.0,20,16875
165.1.250.0,24,7297
165.1.251.0,24,7297
165.125.144.0,20,16875
165.125.160.0,20,16875
165.125.176.0,24,16875
165.125.177.0,24,16875
165.125.178.0,24,16875
165.125.179.0,24,16875
165.125.180.0,24,16875
165.125.181.0,24,16875
165.125.185.0,24,16875
165.125.186.0,24,16875
165.125.188.0,24,16875
165.125.189.0,24,16875
165.125.190.0,24,16875
165.1.252.0,24,7297
165.125.207.0,24,13716
165.125.208.0,23,13716
165.125.210.0,23,13716
165.125.224.0,24,13716
165.125.25.0,24,16875
165.1.253.0,24,7297
165.125.32.0,20,16875
165.1.254.0,24,7297
165.125.48.0,20,16875
165.127.0.0,16,36081
165.127.101.0,24,13649
165.128.0.0,16,2381
165.129.13.0,24,7018
165.129.15.0,24,3549
165.129.20.0,24,7018
165.129.2.0,24,3549
165.129.3.0,24,3549
165.129.4.0,24,3549
165.129.8.0,24,3549
165.130.0.0,16,10967
165.13.0.0,16,3134
165.131.118.0,23,31880
165.131.118.0,24,31880
165.131.171.0,24,31880
165.131.173.0,24,31880
165.131.174.0,23,31880
165.131.182.0,24,31880
165.132.0.0,16,4665
165.132.0.0,17,4665
165.132.128.0,17,4665
165.132.19.0,24,4766
165.132.201.0,24,3786
165.132.202.0,23,3786
165.132.204.0,22,3786
165.132.208.0,22,3786
165.132.212.0,23,3786
165.132.214.0,24,3786
165.132.215.0,24,3786
165.132.216.0,22,3786
165.132.220.0,22,3786
165.132.224.0,24,3786
165.132.225.0,24,3786
165.132.226.0,23,4766
165.132.228.0,22,4766
165.132.232.0,22,3786
165.132.236.0,24,3786
165.132.237.0,24,3786
165.132.238.0,23,3786
165.132.240.0,22,3786
165.132.244.0,23,3786
165.132.246.0,23,3786
165.132.248.0,22,3786
165.132.252.0,23,3786
165.132.254.0,24,3786
165.132.5.0,24,3786
165.133.0.0,18,4766
165.133.128.0,17,4961
165.133.38.0,24,4961
165.133.39.0,24,4961
165.133.40.0,24,4961
165.134.0.0,16,25969
165.134.0.0,19,25969
165.134.100.0,22,25969
165.134.104.0,22,25969
165.134.108.0,22,25969
165.134.112.0,20,25969
165.134.128.0,19,25969
165.134.154.0,24,25969
165.134.160.0,19,25969
165.134.192.0,21,25969
165.134.200.0,21,25969
165.134.203.0,24,25969
165.134.205.0,24,25969
165.134.206.0,24,25969
165.134.210.0,23,25969
165.134.212.0,23,25969
165.134.214.0,23,25969
165.134.216.0,22,25969
165.134.220.0,22,25969
165.134.224.0,20,25969
165.134.240.0,21,25969
165.134.250.0,24,25969
165.134.32.0,21,25969
165.134.40.0,22,25969
165.134.44.0,22,25969
165.134.48.0,20,25969
165.134.64.0,20,25969
165.134.80.0,20,25969
165.134.96.0,22,25969
165.137.0.0,16,7922
165.137.104.0,24,7015
165.137.115.0,24,33491
165.137.119.0,24,33491
165.137.128.0,22,33651
165.137.136.0,22,33651
165.137.143.0,24,7016
165.137.165.0,24,33660
165.137.166.0,24,13367
165.137.20.0,22,33651
165.137.226.0,23,7015
165.137.49.0,24,33651
165.138.0.0,16,11686
165.138.40.0,24,11686
165.139.0.0,16,11686
165.14.0.0,16,18271
165.14.0.0,17,18271
165.141.0.0,16,9761
165.141.112.0,20,9761
165.141.128.0,19,9761
165.141.160.0,20,9761
165.141.176.0,21,9761
165.141.248.0,24,1237
165.141.251.0,24,1237
165.141.252.0,23,1237
165.141.252.0,24,1237
165.141.253.0,24,1237
165.141.254.0,24,1237
165.14.128.0,17,18271
165.141.32.0,19,1237
165.141.64.0,20,1237
165.141.80.0,21,1237
165.142.240.0,20,24513
165.143.0.0,16,5734
165.143.112.0,21,39356
165.143.146.0,24,5713
165.143.147.0,24,5713
165.144.0.0,16,5713
165.145.0.0,16,5713
165.146.0.0,16,5713
165.147.0.0,16,5713
165.148.0.0,16,5713
165.148.128.0,17,5734
165.148.248.0,22,5713
165.148.248.0,23,5713
165.148.252.0,22,5713
165.148.30.0,24,5734
165.149.0.0,16,5713
165.150.0.0,16,7726
165.151.0.0,16,4193
165.152.0.0,16,7792
165.152.0.0,17,7792
165.152.128.0,17,7792
165.154.0.0,16,7456
165.154.243.0,24,11260
165.154.40.0,21,11260
165.155.0.0,16,21704
165.155.192.0,21,21704
165.155.192.0,22,21704
165.155.196.0,22,21704
165.155.200.0,21,21704
165.155.200.0,22,21704
165.155.204.0,22,21704
165.155.208.0,21,21704
165.155.208.0,22,21704
165.155.212.0,22,21704
165.155.64.0,18,21704
165.155.64.0,19,21704
165.155.88.0,21,21704
165.155.88.0,22,21704
165.155.96.0,19,21704
165.156.12.0,24,1295
165.156.13.0,24,1295
165.156.132.0,23,32713
165.156.135.0,24,32713
165.156.136.0,22,32713
165.156.16.0,24,12008
165.156.17.0,24,12008
165.156.18.0,24,12008
165.156.19.0,24,12008
165.156.20.0,24,12008
165.156.21.0,24,12008
165.156.24.0,24,30437
165.156.25.0,24,30437
165.156.26.0,24,30437
165.156.27.0,24,30437
165.156.28.0,24,30437
165.156.29.0,24,30437
165.156.30.0,24,30437
165.156.3.0,24,1295
165.156.31.0,24,30437
165.156.32.0,24,3549
165.156.33.0,24,30437
165.156.34.0,24,30437
165.156.37.0,24,30437
165.156.38.0,24,30437
165.156.39.0,24,30437
165.156.40.0,24,30437
165.156.4.0,24,701
165.156.5.0,24,701
165.156.8.0,24,1295
165.156.9.0,24,1295
165.157.0.0,16,54996
165.158.0.0,16,3356
165.16.0.0,17,37284
165.160.10.0,24,32691
165.160.11.0,24,32691
