ip,prefix,origin
113.0.0.0,13,4837
113.10.0.0,22,9943
113.10.104.0,21,9874
113.10.112.0,21,9874
113.10.120.0,21,9874
113.10.12.0,22,9943
113.10.128.0,19,17444
113.10.160.0,19,17444
113.10.16.0,22,9943
113.10.192.0,19,17444
113.10.20.0,22,9943
113.10.224.0,19,17444
113.10.24.0,22,9943
113.10.28.0,22,9943
113.10.32.0,22,9943
113.103.44.0,22,58543
113.10.36.0,22,9943
113.10.40.0,22,9943
113.10.4.0,22,9943
113.10.44.0,22,9943
113.10.48.0,22,9943
113.105.136.0,21,134763
113.105.144.0,20,134763
113.105.160.0,20,134763
113.10.52.0,22,9943
113.105.222.0,23,134764
113.105.224.0,22,134764
113.105.228.0,24,134764
113.105.230.0,24,134764
113.105.231.0,24,134764
113.105.244.0,22,134764
113.105.248.0,22,134764
113.10.56.0,22,9943
113.105.72.0,21,4816
113.105.80.0,23,4816
113.105.82.0,23,4816
113.10.59.0,24,45996
113.105.92.0,22,4816
113.10.60.0,22,9943
113.10.60.0,24,45996
113.106.100.0,24,58543
113.106.101.0,24,58543
113.106.102.0,24,58543
113.106.16.0,22,58543
113.106.176.0,21,58543
113.106.200.0,21,58543
113.106.24.0,22,58543
113.10.64.0,21,9874
113.106.48.0,21,4816
113.106.96.0,24,58543
113.106.97.0,24,58543
113.106.98.0,24,58543
113.106.99.0,24,58543
113.10.7.0,24,45996
113.107.112.0,22,58543
113.107.116.0,22,58543
113.107.148.0,22,58543
113.107.160.0,23,58543
113.107.166.0,23,58543
113.107.174.0,23,58543
113.107.176.0,21,58543
113.107.184.0,21,58543
113.107.200.0,21,58543
113.10.72.0,21,9874
113.107.208.0,22,58543
113.107.216.0,24,58543
113.107.217.0,24,58543
113.107.218.0,24,58543
113.107.219.0,24,58543
113.107.220.0,24,58543
113.107.221.0,24,58543
113.107.222.0,24,58543
113.107.223.0,24,58543
113.107.232.0,22,58543
113.107.236.0,22,58543
113.107.248.0,22,58543
113.107.36.0,22,58543
113.107.42.0,23,58543
113.107.44.0,22,58543
113.107.56.0,21,58543
113.107.92.0,22,58543
113.107.96.0,20,58543
113.108.0.0,19,4816
113.10.80.0,21,9874
113.10.8.0,22,9943
113.10.8.0,24,45996
113.108.208.0,20,58466
113.108.224.0,20,58466
113.108.64.0,19,4816
113.10.88.0,21,9874
113.10.96.0,21,9874
113.11.0.0,17,7565
113.11.0.0,18,7565
113.11.0.0,20,7565
113.11.120.0,22,7565
113.11.128.0,19,17658
113.11.128.0,20,17658
113.11.128.0,24,17658
113.11.129.0,24,17658
113.11.130.0,24,17658
113.11.131.0,24,17658
113.11.132.0,24,17658
113.11.133.0,24,17658
113.11.134.0,24,17658
113.11.135.0,24,17658
113.11.136.0,24,17658
113.11.137.0,24,17658
113.11.138.0,24,17658
113.11.139.0,24,17658
113.11.140.0,24,17658
113.11.141.0,24,17658
113.11.142.0,24,17658
113.11.143.0,24,17658
113.11.144.0,20,17658
113.11.144.0,24,17658
113.11.145.0,24,17658
113.11.146.0,24,17658
113.11.147.0,24,17658
113.11.148.0,24,17658
113.11.149.0,24,17658
113.11.150.0,24,17658
113.11.151.0,24,17658
113.11.154.0,24,17658
113.11.155.0,24,17658
113.11.156.0,24,17658
113.11.158.0,24,17658
113.11.159.0,24,17658
113.11.160.0,20,18228
113.11.16.0,20,7565
113.11.184.0,24,38611
113.11.190.0,24,38182
113.11.191.0,24,38182
113.11.194.0,24,4847
113.112.0.0,13,4134
113.11.224.0,24,17754
113.11.225.0,24,17754
113.11.226.0,24,17754
113.11.227.0,24,17754
113.11.228.0,24,17754
113.11.229.0,24,17754
113.11.230.0,24,17754
113.11.231.0,24,17754
113.11.232.0,24,45457
113.11.233.0,24,45457
113.11.234.0,24,45457
113.11.235.0,24,45457
113.11.236.0,24,55951
113.11.237.0,24,55951
113.11.238.0,24,24068
113.11.239.0,24,24068
113.11.240.0,21,9249
113.11.240.0,24,9249
113.11.241.0,24,9249
113.11.242.0,23,9249
113.11.242.0,24,9249
113.11.243.0,24,9249
113.11.244.0,24,9249
113.11.245.0,24,9249
113.11.246.0,23,9249
113.11.246.0,24,9249
113.11.248.0,21,38532
