ip,prefix,origin
194.0.0.0,24,31529
194.0.100.0,22,41744
194.0.10.0,24,49488
194.0.1.0,24,42909
194.0.108.0,24,41800
194.0.109.0,24,41800
194.0.110.0,24,41800
194.0.11.0,24,31529
194.0.111.0,24,41800
194.0.112.0,22,12389
194.0.120.0,22,8410
194.0.12.0,24,25192
194.0.124.0,22,39802
194.0.128.0,24,42171
194.0.129.0,24,42452
194.0.130.0,24,34162
194.0.13.0,24,25192
194.0.131.0,24,42138
194.0.135.0,24,61303
194.0.137.0,24,42128
194.0.138.0,24,42134
194.0.140.0,24,42180
194.0.14.0,24,200070
194.0.142.0,24,29144
194.0.143.0,24,49609
194.0.144.0,24,42528
194.0.145.0,24,42190
194.0.146.0,24,174
194.0.147.0,24,24867
194.0.148.0,24,42164
194.0.148.24,29,42164
194.0.148.8,29,42164
194.0.148.96,29,42164
194.0.149.0,24,42166
194.0.150.0,24,42222
194.0.151.0,24,39129
194.0.153.0,24,35625
194.0.154.0,24,50993
194.0.155.0,24,51595
194.0.157.0,24,25099
194.0.158.0,24,6461
194.0.160.0,24,42181
194.0.16.0,24,197440
194.0.16.0,24,2597
194.0.161.0,24,200963
194.0.162.0,24,42219
194.0.163.0,24,12843
194.0.164.0,24,42185
194.0.165.0,24,57548
194.0.166.0,24,42188
194.0.167.0,24,42328
194.0.169.0,24,5381
194.0.170.0,24,35579
194.0.17.0,24,42
194.0.171.0,24,42204
194.0.173.0,24,198892
194.0.174.0,23,50815
194.0.176.0,24,8921
194.0.18.0,24,44358
194.0.181.0,24,42272
194.0.182.0,24,42652
194.0.183.0,24,42281
194.0.184.0,24,20902
194.0.185.0,24,1241
194.0.187.0,24,42292
194.0.190.0,24,42294
194.0.19.0,24,44358
194.0.191.0,24,198061
194.0.192.0,24,2116
194.0.194.0,24,42315
194.0.195.0,24,15404
194.0.196.0,24,42342
194.0.197.0,24,60781
194.0.198.0,24,21423
194.0.199.0,24,42966
194.0.200.0,24,42331
194.0.20.0,24,44358
194.0.201.0,24,47692
194.0.202.0,24,42321
194.0.2.0,24,42909
194.0.203.0,24,42380
194.0.204.0,24,42324
194.0.205.0,24,42329
194.0.206.0,24,42430
194.0.208.0,24,29686
194.0.209.0,24,42375
194.0.210.0,24,42353
194.0.21.0,24,51833
194.0.211.0,24,15694
194.0.212.0,24,41549
194.0.214.0,24,42359
194.0.215.0,24,48345
194.0.216.0,24,3209
194.0.217.0,24,42542
194.0.218.0,24,47315
194.0.219.0,24,199148
194.0.220.0,24,42361
194.0.222.0,24,39508
194.0.224.0,24,42488
194.0.226.0,24,200824
194.0.229.0,24,42486
194.0.230.0,24,42783
194.0.23.0,24,51966
194.0.232.0,24,3209
194.0.233.0,24,5588
194.0.234.0,24,9031
194.0.235.0,24,8877
194.0.236.0,24,29139
194.0.237.0,24,42545
194.0.238.0,24,15404
194.0.239.0,24,2856
194.0.240.0,24,198042
194.0.24.0,24,201612
194.0.241.0,24,15404
