ip,prefix,origin
184.0.0.0,13,209
184.0.0.0,20,5778
184.0.100.0,23,209
184.0.102.0,24,209
184.0.103.0,24,209
184.0.104.0,21,209
184.0.112.0,20,14905
184.0.128.0,20,209
184.0.144.0,20,5778
184.0.154.0,24,209
184.0.155.0,24,35921
184.0.159.0,24,27549
184.0.160.0,20,2379
184.0.16.0,21,209
184.0.164.0,22,209
184.0.170.0,23,209
184.0.172.0,22,209
184.0.176.0,20,5778
184.0.176.0,21,209
184.0.184.0,21,209
184.0.192.0,20,18494
184.0.192.0,24,209
184.0.196.0,24,209
184.0.200.0,22,209
184.0.208.0,20,14905
184.0.224.0,20,2379
184.0.240.0,20,2379
184.0.240.0,21,209
184.0.24.0,22,11398
184.0.248.0,21,209
184.0.25.0,24,209
184.0.26.0,23,209
184.0.30.0,23,11398
184.0.30.0,24,209
184.0.48.0,21,11398
184.0.52.0,24,209
184.0.54.0,24,209
184.0.56.0,21,14910
184.0.64.0,20,14910
184.0.80.0,20,11398
184.0.96.0,20,11398
184.1.0.0,19,209
184.10.10.0,23,30064
184.10.104.0,22,7011
184.10.110.0,23,3593
184.10.113.0,24,3593
184.10.144.0,22,7011
184.10.148.0,22,7011
184.10.152.0,21,5650
184.10.16.0,22,7011
184.10.176.0,20,5650
184.102.0.0,19,209
184.10.20.0,22,7011
184.10.208.0,21,7011
184.10.224.0,21,7011
184.102.32.0,19,209
184.10.240.0,20,7011
184.10.25.0,24,7011
184.102.64.0,19,209
184.104.0.0,15,6939
184.104.0.0,17,6939
184.10.46.0,24,7011
184.105.0.0,24,395100
184.105.156.0,24,54288
184.105.158.0,24,54288
184.105.159.0,24,54288
184.105.160.0,24,54288
184.105.16.0,20,6939
184.105.170.0,24,54288
184.105.171.0,24,54288
184.105.195.0,24,6939
184.105.198.0,23,54905
184.105.200.0,23,54905
184.105.21.0,24,14143
184.105.218.0,24,46841
184.105.219.0,24,18978
184.105.220.0,23,46841
184.105.22.0,24,14143
184.105.248.0,21,6939
184.105.252.0,24,15188
184.105.254.0,24,23250
184.105.28.0,23,22890
184.105.31.0,24,393737
184.105.32.0,20,6939
184.105.42.0,24,395007
184.105.43.0,24,394330
184.105.48.0,20,6939
184.105.49.0,24,394330
184.105.50.0,24,394330
184.105.85.0,24,62786
184.106.0.0,16,19994
184.10.64.0,20,7011
184.107.0.0,16,32613
184.107.120.0,24,32613
184.108.0.0,14,7922
184.10.80.0,23,7011
184.10.8.0,24,30064
184.10.82.0,23,7011
184.10.86.0,23,7011
184.10.88.0,21,7011
184.10.9.0,24,7011
184.11.0.0,24,5650
184.11.102.0,23,394241
184.112.0.0,12,7922
184.1.128.0,19,14910
184.11.31.0,24,7011
184.11.32.0,21,7011
184.11.40.0,22,7011
184.11.58.0,23,7011
184.1.160.0,20,2379
184.11.72.0,22,7011
184.1.176.0,20,5778
184.1.176.0,21,209
184.1.184.0,22,209
184.1.189.0,24,209
184.1.190.0,23,209
184.1.192.0,20,22561
184.11.92.0,23,7011
184.1.208.0,20,209
184.12.1.0,24,5650
184.12.132.0,24,7011
184.12.133.0,24,7011
184.12.136.0,22,5650
184.12.17.0,24,7011
184.12.2.0,23,5650
184.12.224.0,21,7011
184.12.232.0,21,7011
184.12.240.0,21,7011
184.1.224.0,20,17402
184.12.254.0,24,7011
184.1.240.0,20,2379
184.12.40.0,23,7011
184.12.48.0,20,7011
184.12.6.0,24,5650
184.12.80.0,21,7011
184.12.88.0,21,7011
184.12.99.0,24,5650
184.13.0.0,19,5650
184.13.128.0,19,5650
184.13.160.0,19,5650
184.1.32.0,20,2379
184.13.208.0,21,7011
184.13.216.0,22,7011
184.13.224.0,22,7011
184.13.228.0,22,7011
184.13.232.0,21,7011
184.13.64.0,19,5650
184.14.0.0,19,5650
184.14.224.0,19,5650
184.14.32.0,19,5650
184.144.0.0,16,577
184.145.0.0,16,577
184.146.0.0,16,577
184.14.64.0,20,7011
184.147.0.0,16,577
184.148.0.0,16,577
184.1.48.0,20,2379
184.149.0.0,16,577
184.150.0.0,16,577
184.150.0.0,18,577
184.150.128.0,18,577
184.150.128.0,23,577
184.150.130.0,24,577
184.150.131.0,24,577
184.150.132.0,24,577
184.150.133.0,24,577
184.150.138.0,23,577
184.150.140.0,24,577
184.150.14.0,24,577
184.150.141.0,24,577
184.150.142.0,24,577
184.150.143.0,24,577
184.150.145.0,24,577
184.150.146.0,24,577
184.150.147.0,24,577
184.150.148.0,24,577
184.150.149.0,24,577
184.150.150.0,24,577
184.150.15.0,24,577
184.150.163.0,24,577
184.150.188.0,24,577
184.150.189.0,24,577
184.150.192.0,21,577
184.150.199.0,24,577
184.150.200.0,22,577
184.150.208.0,20,577
184.150.210.0,24,577
184.150.211.0,24,577
184.150.212.0,24,577
184.150.220.0,24,603
184.150.224.0,19,577
184.150.224.0,23,603
184.150.226.0,23,603
184.150.228.0,23,603
184.150.231.0,24,603
184.150.232.0,21,603
184.150.240.0,21,603
184.150.248.0,21,603
184.150.96.0,20,577
184.151.0.0,16,577
184.151.0.0,18,36522
184.151.112.0,22,36522
184.151.116.0,23,36522
184.151.119.0,24,36522
184.151.120.0,21,36522
184.151.128.0,19,36522
184.151.160.0,19,36522
184.151.192.0,19,36522
184.151.224.0,21,36522
