ip,prefix,origin
151.0.0.0,18,45025
151.0.0.0,20,45025
151.0.128.0,17,12874
151.0.16.0,20,45025
151.0.32.0,21,45025
151.0.40.0,21,45025
151.0.48.0,22,61344
151.0.56.0,21,45025
151.0.64.0,18,21334
151.100.0.0,16,137
151.10.0.0,16,1267
151.1.0.0,16,3242
151.1.0.0,24,3242
151.101.0.0,16,54113
151.101.0.0,22,54113
151.101.100.0,22,54113
151.101.104.0,22,54113
151.101.112.0,22,54113
151.101.116.0,22,54113
151.101.120.0,22,54113
151.101.12.0,22,54113
151.101.124.0,22,54113
151.101.128.0,22,54113
151.101.136.0,22,54113
151.101.140.0,22,54113
151.101.148.0,22,54113
151.101.16.0,22,54113
151.101.192.0,22,54113
151.101.20.0,22,54113
151.101.24.0,22,54113
151.101.28.0,22,54113
151.101.32.0,22,54113
151.101.36.0,22,54113
151.101.40.0,22,54113
151.101.4.0,22,54113
151.101.44.0,22,54113
151.101.48.0,22,54113
151.101.52.0,22,54113
151.101.56.0,22,54113
151.101.60.0,22,54113
151.101.64.0,22,54113
151.101.68.0,22,54113
151.101.72.0,22,54113
151.101.76.0,22,54113
151.101.80.0,22,54113
151.101.8.0,22,54113
151.101.84.0,22,54113
151.101.88.0,22,54113
151.101.92.0,22,54113
151.101.96.0,22,54113
151.102.0.0,16,32104
151.103.0.0,16,13536
151.103.112.0,24,13536
151.103.16.0,20,13536
151.103.176.0,20,13536
151.103.192.0,18,13536
151.103.32.0,22,13536
151.103.64.0,20,13536
151.103.80.0,20,13536
151.103.96.0,20,13536
151.105.0.0,16,1759
151.110.0.0,16,11719
151.11.0.0,16,1267
151.1.101.0,24,3242
151.1.1.0,24,3242
151.1.104.0,23,3242
151.1.106.0,23,3242
151.111.0.0,16,1998
151.112.0.0,17,32480
151.112.128.0,17,32480
151.1.128.0,18,3242
151.113.200.0,24,46528
151.113.255.0,24,46528
151.11.48.0,22,24994
151.11.52.0,23,24994
151.116.186.0,24,209
151.116.188.0,24,209
151.116.193.0,24,209
151.118.0.0,20,3909
151.118.160.0,19,3909
151.118.17.0,24,3909
151.118.18.0,24,3909
151.118.192.0,22,3909
151.118.254.0,23,3909
151.118.40.0,24,3909
151.118.41.0,24,3909
151.118.56.0,22,3909
151.118.60.0,24,3909
151.1.192.0,22,3242
151.1.196.0,22,3242
151.1.200.0,21,3242
151.12.0.0,16,1267
151.1.208.0,20,3242
151.121.0.0,16,4152
151.122.128.0,21,394409
151.122.136.0,21,394409
151.1.224.0,19,3242
151.1.24.0,22,3242
151.124.128.0,19,30598
151.124.160.0,20,30598
151.124.176.0,20,30598
151.124.192.0,20,33721
151.124.224.0,20,30598
151.124.240.0,20,30598
151.124.248.0,21,30598
151.124.32.0,21,63222
151.124.40.0,24,3554
151.124.47.0,24,63222
151.124.48.0,24,63222
151.127.0.0,16,35540
151.1.28.0,22,3242
151.13.0.0,16,1267
151.130.29.0,24,131462
151.130.33.0,24,131462
151.130.35.0,24,131462
151.130.37.0,24,131462
151.130.39.0,24,131462
151.130.40.0,24,131462
151.130.41.0,24,131462
151.130.43.0,24,131462
151.130.46.0,24,131462
151.130.49.0,24,131462
151.130.50.0,24,131462
151.130.53.0,24,131462
151.130.54.0,24,131462
151.130.55.0,24,131462
151.130.56.0,24,131462
151.130.57.0,24,131462
151.130.58.0,24,131462
151.130.59.0,24,131462
151.132.0.0,16,46093
151.1.32.0,22,3242
151.132.106.0,24,46093
151.132.200.0,24,46093
151.132.206.0,24,46093
151.132.50.0,24,46093
151.133.0.0,16,5413
151.133.238.0,23,42987
151.135.0.0,19,20978
151.135.128.0,19,20978
151.135.160.0,19,20978
151.135.192.0,19,20978
151.135.224.0,19,20978
151.135.32.0,19,20978
151.135.64.0,18,20978
151.135.64.0,19,20978
151.135.96.0,19,20978
151.136.0.0,16,34086
151.1.36.0,22,3242
151.137.148.0,22,17199
151.137.248.0,22,17199
151.138.0.0,16,6482
151.138.160.0,19,6482
151.138.248.0,21,6482
151.139.0.0,16,54104
151.139.0.0,24,54104
151.139.10.0,24,54104
151.139.1.0,24,54104
151.139.200.0,24,54104
151.139.2.0,24,54104
151.139.222.0,24,54104
151.139.240.0,24,54104
151.139.241.0,24,54104
151.139.242.0,24,54104
151.139.243.0,24,54104
151.139.244.0,24,54104
151.139.245.0,24,54104
151.139.246.0,24,54104
151.139.247.0,24,54104
151.139.3.0,24,54104
151.139.4.0,24,54104
151.139.5.0,24,54104
151.139.6.0,24,54104
151.139.7.0,24,54104
151.139.8.0,24,54104
151.139.9.0,24,54104
151.140.0.0,16,10967
151.14.0.0,16,1267
151.1.40.0,23,3242
151.141.0.0,16,29842
151.141.0.0,17,19956
151.141.101.0,24,29842
151.141.128.0,17,19956
151.1.42.0,23,3242
151.142.128.0,20,11396
151.142.160.0,20,11396
151.142.184.0,21,11396
151.142.192.0,19,11396
151.142.224.0,19,11396
151.143.0.0,16,1226
151.144.0.0,16,6167
151.1.44.0,23,3242
151.144.232.0,22,22394
151.144.96.0,19,22394
151.145.0.0,16,15117
151.1.46.0,23,3242
151.147.140.0,24,9723
151.147.155.0,24,46342
151.147.160.0,22,46342
151.147.187.0,24,13009
151.147.188.0,22,46342
151.147.192.0,22,46342
151.147.196.0,24,46342
151.147.235.0,24,46342
151.147.236.0,24,46342
151.147.240.0,22,46342
151.148.0.0,17,54786
151.1.48.0,24,3242
151.148.128.0,17,54786
151.148.135.0,24,32382
151.148.136.0,24,32382
151.1.49.0,24,3242
151.15.0.0,16,1267
151.1.50.0,24,3242
151.151.0.0,19,10837
151.151.32.0,19,10837
151.151.64.0,19,10837
151.151.75.0,24,10837
